SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-18-2019,Single Family Residential,913 Jewel Stone Ln,Morrisville,NC,27560,433000,4,3.0,Providence Place,2785,8276,2011,217,155,45,Sold,,,http://www.redfin.com/NC/Morrisville/913-Jewel-Stone-Ln-27560/home/41334613,TMLS,2272010,N,Y,35.8555316,-78.85054
PAST SALE,September-25-2017,Single Family Residential,116 Elmhaven Way,Morrisville,NC,27560,435000,5,3.0,Wexford,3912,9583,2004,970,111,58,Sold,,,http://www.redfin.com/NC/Morrisville/116-Elmhaven-Way-27560/home/41283335,TMLS,2150602,N,Y,35.8331,-78.8563
PAST SALE,April-19-2018,Single Family Residential,977 Justice Walk Ave,Morrisville,NC,27560,425000,5,4.0,Town Hall Commons,2906,9148,2011,764,146,40,Sold,,,http://www.redfin.com/NC/Morrisville/977-Justice-Walk-Ave-27560/home/41360588,TMLS,2178736,N,Y,35.8355679,-78.8466916
PAST SALE,January-22-2018,Townhouse,1144 Craigmeade Dr #20,Morrisville,NC,27560,413555,4,3.0,Wake,2367,3484,2017,851,175,108,Sold,,,http://www.redfin.com/NC/Morrisville/1144-Craigmeade-Dr-27560/unit-20/home/161335630,TMLS,2156717,N,Y,35.840728,-78.847048
PAST SALE,,Single Family Residential,3625 Pleasant Grove Church Rd,Morrisville,NC,27560,455000,,2.0,,1888,100624,1975,,241,,,,,http://www.redfin.com/NC/Morrisville/3625-Pleasant-Grove-Church-Rd-27560/home/109594847,,,N,Y,35.8907302,-78.8198149
PAST SALE,,Vacant Land,5766 LUMLEY RD,,NC,,3225500,,,,,592155,,,,,,,,http://www.redfin.com/NC/Unknown/5766-LUMLEY-RD-Unknown/home/147232368,,,N,Y,35.922899,-78.808323
PAST SALE,,Vacant Land,1011 Harris Rd,Wake Forest,NC,27587,500000,,,,,66211,,,,,,,,http://www.redfin.com/NC/Wake-Forest/1011-Harris-Rd-27587/home/163120338,,,N,Y,35.839879,-78.849459
PAST SALE,,Condo/Co-op,1000 Sweet Spot Cir,Morrisville,NC,27560,64000000,,,,18862,,1999,,3393,,,,,http://www.redfin.com/NC/Morrisville/1000-Sweet-Spot-Cir-27560/home/41236904,,,N,Y,35.815557,-78.8386
PAST SALE,,Vacant Land,LAKEBRINK DR,MORRISVILLE,NC,27560,422000,,,,,83635,,,,,,,,http://www.redfin.com/NC/MORRISVILLE/LAKEBRINK-DR-27560/home/146130058,,,N,Y,35.8531,-78.8319
PAST SALE,August-10-2017,Single Family Residential,112 Trumbell Cir,Morrisville,NC,27560,403000,4,2.5,Ridgemont,2797,20909,1999,1016,144,22,Sold,,,http://www.redfin.com/NC/Morrisville/112-Trumbell-Cir-27560/home/41343974,TMLS,2138750,N,Y,35.8191933,-78.8371805
PAST SALE,June-15-2017,Single Family Residential,109 Delaplane Ct,Morrisville,NC,27560,699500,5,5.0,Weston Estates,4565,27007,2002,1072,153,61,Sold,,,http://www.redfin.com/NC/Morrisville/109-Delaplane-Ct-27560/home/41246587,TMLS,2107287,N,Y,35.8222445,-78.816983
PAST SALE,August-23-2017,Single Family Residential,116 Bayless Ridge Ct,Morrisville,NC,27560,439000,5,4.0,Addison Park,3305,8712,2006,1003,133,29,Sold,,,http://www.redfin.com/NC/Morrisville/116-Bayless-Ridge-Ct-27560/home/41298511,TMLS,2141637,N,Y,35.821121,-78.8424891
PAST SALE,August-11-2017,Single Family Residential,6229 Kit Creek Rd,Raleigh,NC,27560,435000,4,2.5,Kitts Creek,3200,9147,2011,1015,136,60,Sold,,,http://www.redfin.com/NC/Morrisville/6229-Kit-Creek-Rd-27560/home/41362050,TMLS,2134583,N,Y,35.8630537,-78.852265
PAST SALE,July-26-2017,Single Family Residential,1909 Jadewood Dr,Morrisville,NC,27560,478000,4,3.5,Providence Place,4518,10890,2007,1031,106,49,Sold,,,http://www.redfin.com/NC/Morrisville/1909-Jadewood-Dr-27560/home/41315612,TMLS,2117300,N,Y,35.8551226,-78.8484167
PAST SALE,August-4-2017,Single Family Residential,1133 Survada Ln,Morrisville,NC,27560,410000,5,4.0,Kitts Creek,3286,7840,2013,1022,125,60,Sold,,,http://www.redfin.com/NC/Morrisville/1133-Survada-Ln-27560/home/59277464,TMLS,2131472,N,Y,35.8646043,-78.8611997
PAST SALE,September-22-2017,Single Family Residential,1232 Hemby Ridge Ln,Morrisville,NC,27560,466000,5,3.5,Kitts Creek,3743,10890,2015,973,124,60,Sold,,,http://www.redfin.com/NC/Morrisville/1232-Hemby-Ridge-Ln-27560/home/59280116,TMLS,2147496,N,Y,35.863879,-78.854344
PAST SALE,October-20-2017,Single Family Residential,210 Begen St,Morrisville,NC,27560,415000,4,3.0,Birkshires at Townhall Commons,2710,3484,2015,945,153,100,Sold,,,http://www.redfin.com/NC/Morrisville/210-Begen-St-27560/home/59280078,TMLS,2140201,N,Y,35.841628,-78.8426661
PAST SALE,July-3-2017,Single Family Residential,201 Dyersville Dr,Morrisville,NC,27560,426000,4,2.5,Breckenridge,3021,16117,2001,1054,141,13,Sold,,,http://www.redfin.com/NC/Morrisville/201-Dyersville-Dr-27560/home/41255783,TMLS,2121305,N,Y,35.8379442,-78.8604036
PAST SALE,July-28-2017,Single Family Residential,107 Preston Grande Way,Morrisville,NC,27560,692500,4,3.5,Preston Grande,3809,33105,2001,1029,182,31,Sold,,,http://www.redfin.com/NC/Morrisville/107-Preston-Grande-Way-27560/home/41234099,TMLS,2122425,N,Y,35.8039265,-78.8218716
PAST SALE,August-24-2017,Single Family Residential,1801 Hemby Ridge Ln,Morrisville,NC,27560,430000,5,3.5,Kitts Creek,3655,8276,2012,1002,118,60,Sold,,,http://www.redfin.com/NC/Morrisville/1801-Hemby-Ridge-Ln-27560/home/52416716,TMLS,2119097,N,Y,35.8615126,-78.8587228
PAST SALE,May-23-2017,Single Family Residential,313 Millicent Way,Morrisville,NC,27560-7299,413111,5,3.5,Breckenridge,3533,6534,2004,1095,117,40,Sold,,,http://www.redfin.com/NC/Morrisville/313-Millicent-Way-27560/home/41281873,TMLS,2120322,N,Y,35.8437802,-78.86748
PAST SALE,June-22-2017,Single Family Residential,1020 Gamewell Ln,Morrisville,NC,27560,430000,5,3.5,Kitts Creek,3671,6534,2014,1065,117,57,Sold,,,http://www.redfin.com/NC/Morrisville/1020-Gamewell-Ln-27560/home/59277945,TMLS,2114333,N,Y,35.8656593,-78.853592
PAST SALE,November-1-2017,Single Family Residential,2000 Junewood Ln,Morrisville,NC,27560,471500,5,4.0,Providence Place,3396,9583,2014,933,139,49,Sold,,,http://www.redfin.com/NC/Morrisville/2000-Junewood-Ln-27560/home/45437408,TMLS,2141056,N,Y,35.8556116,-78.8558921
PAST SALE,,Single Family Residential,106 Rexmore Ct,Morrisville,NC,27560,450000,,3.0,,3169,7841,2005,,142,,,,,http://www.redfin.com/NC/Morrisville/106-Rexmore-Ct-27560/home/41291189,,,N,Y,35.8333557,-78.8567767
PAST SALE,June-15-2017,Single Family Residential,301 Weston Estates Way,Morrisville,NC,27560,700000,4,3.5,Weston Estates,4179,20908,2004,1072,168,61,Sold,,,http://www.redfin.com/NC/Morrisville/301-Weston-Estates-Way-27560/home/41248009,TMLS,2117320,N,Y,35.8189884,-78.8163635
PAST SALE,December-28-2017,Single Family Residential,6409 Kit Creek Rd,Morrisville,NC,27560,410000,4,3.0,Kitts Creek,2965,7840,2006,876,138,60,Sold,,,http://www.redfin.com/NC/Morrisville/6409-Kit-Creek-Rd-27560/home/41357770,TMLS,2157308,N,Y,35.8614589,-78.8554498
