SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-18-2017,Single Family Residential,3207 Nantuckett Ave,Durham,NC,27703,265000,4,3.0,Hidden Hollow,1772,27007,2017,1008,150,,Sold,,,http://www.redfin.com/NC/Durham/3207-Nantuckett-Ave-27703/home/43561074,TMLS,2140154,N,Y,35.9758425,-78.8421873
PAST SALE,July-14-2017,Single Family Residential,12416 Tetons Ct,Durham,NC,27703,260000,4,2.5,The Park,2365,10236,2004,1043,110,30,Sold,,,http://www.redfin.com/NC/Durham/12416-Tetons-Ct-27703/home/43595976,TMLS,2127782,N,Y,35.9256822,-78.759155
PAST SALE,October-27-2017,Single Family Residential,4807 Mistletoe Ln,Durham,NC,27703,265000,4,2.5,Magnolia Place,2133,7405,2003,938,124,38,Sold,,,http://www.redfin.com/NC/Durham/4807-Mistletoe-Ln-27703/home/43593178,TMLS,2151283,N,Y,35.9320508,-78.8250138
PAST SALE,December-22-2017,Townhouse,221 Brier Summit Pl Unit 2019D,Durham,NC,27703,251615,4,3.5,Durham,2138,,2017,882,118,125,Sold,,,http://www.redfin.com/NC/Durham/221-Brier-Summit-Pl-27703/unit-2019D/home/145082559,TMLS,2139778,N,Y,35.914473,-78.823346
PAST SALE,December-28-2017,Single Family Residential,12316 Tetons Ct,Durham,NC,27703,265000,4,3.0,The Park,3030,6534,2005,876,87,35,Sold,,,http://www.redfin.com/NC/Durham/12316-Tetons-Ct-27703/home/43599443,TMLS,2160072,N,Y,35.9247545,-78.7573397
PAST SALE,June-23-2017,Single Family Residential,101 Weslyn Trace Dr,Durham,NC,27703,265000,4,2.5,Grove Park,2500,11761,1998,1064,106,52,Sold,,,http://www.redfin.com/NC/Durham/101-Weslyn-Trace-Dr-27703/home/43568627,TMLS,2127764,N,Y,35.9816679,-78.8125802
PAST SALE,August-31-2017,Single Family Residential,509 Hillview Dr,Durham,NC,27703,275000,4,3.0,Ravenstone,3445,12196,2005,995,80,55,Sold,,,http://www.redfin.com/NC/Durham/509-Hillview-Dr-27703/home/43603180,TMLS,2136060,N,Y,35.9696329,-78.7936934
PAST SALE,August-30-2017,Single Family Residential,209 Scheer Ave,Durham,NC,27703,259900,4,2.5,Durham,2237,39639,2004,996,116,,Sold,,,http://www.redfin.com/NC/Durham/209-Scheer-Ave-27703/home/43568664,TMLS,2139599,N,Y,35.9639236,-78.8132439
PAST SALE,June-15-2017,Single Family Residential,18 Vestrial Ln,Durham,NC,27703,263000,4,2.5,Grove Park,2524,10018,1996,1072,104,47,Sold,,,http://www.redfin.com/NC/Durham/18-Vestrial-Ln-27703/home/43568264,TMLS,2124712,N,Y,35.9686609,-78.8135979
PAST SALE,January-12-2018,Single Family Residential,616 Hiddenbrook Dr,Durham,NC,27703,275000,5,3.0,Sherron Farms,2335,5880,2017,861,118,45,Sold,,,http://www.redfin.com/NC/Durham/616-Hiddenbrook-Dr-27703/home/113758828,TMLS,2123616,N,Y,35.96882,-78.796643
