SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-19-2020,Townhouse,112 Stockton Gorge Rd,Morrisville,NC,27560,267000,3,2.5,Shiloh Grove,1702,1742,2012,3,157,126,Sold,,,http://www.redfin.com/NC/Morrisville/112-Stockton-Gorge-Rd-27560/home/44597969,TMLS,2310250,N,Y,35.8483853,-78.8494523
PAST SALE,January-8-2019,Townhouse,100 Caraleigh Ct,Morrisville,NC,27560,233000,3,2.5,Breckenridge,1519,3920,2001,500,153,110,Sold,,,http://www.redfin.com/NC/Morrisville/100-Caraleigh-Ct-27560/home/41255402,TMLS,2222428,N,Y,35.8443692,-78.8711278
PAST SALE,June-16-2017,Townhouse,1105 Falcon Ridge Ln,Morrisville,NC,27560,250000,3,2.5,Providence Place,1678,2178,2012,1071,149,160,Sold,,,http://www.redfin.com/NC/Morrisville/1105-Falcon-Ridge-Ln-27560/home/52417061,TMLS,2128873,N,Y,35.8562736,-78.8548748
PAST SALE,November-9-2017,Townhouse,127 Winifred Dr,Morrisville,NC,27560,240000,2,2.5,Sterling,1624,3049,2016,925,148,133,Sold,,,http://www.redfin.com/NC/Morrisville/127-Winifred-Dr-27560/home/109463216,TMLS,2153638,N,Y,35.889933,-78.8334835
PAST SALE,,Condo/Co-op,1033 Kelton Cottage Way,Morrisville,NC,27560,235000,,2.0,,1450,,1999,,162,,,,,http://www.redfin.com/NC/Morrisville/1033-Kelton-Cottage-Way-27560/home/41249296,,,N,Y,35.8086336,-78.8264238
PAST SALE,October-2-2017,Townhouse,700 Meeting Hall Dr,Morrisville,NC,27560,262200,3,2.5,The Gables,1809,4791,2002,963,145,109,Sold,,,http://www.redfin.com/NC/Morrisville/700-Meeting-Hall-Dr-27560/home/41275563,TMLS,2140016,N,Y,35.8386816,-78.8412335
PAST SALE,June-9-2017,Townhouse,110 Brentfield Loop,Morrisville,NC,27560,242000,3,2.5,Breckenridge,1702,2178,2000,1078,142,100,Sold,,,http://www.redfin.com/NC/Morrisville/110-Brentfield-Loop-27560/home/41260625,TMLS,2130410,N,Y,35.8400191,-78.8573959
PAST SALE,July-31-2017,Townhouse,254 Linden Park Ln,Cary,NC,27519,245000,4,3.5,Legacy at Carpenter Village,1992,1742,2007,1026,123,155,Sold,,,http://www.redfin.com/NC/Cary/254-Linden-Park-Ln-27519/home/41315635,TMLS,2134843,N,Y,35.8304363,-78.8607684
PAST SALE,November-9-2017,Townhouse,343 View Dr,Morrisville,NC,27560,270000,2,2.5,Wake,1837,1742,2017,925,147,135,Sold,,,http://www.redfin.com/NC/Morrisville/343-View-Dr-27560/home/144608839,TMLS,2108144,N,Y,35.8140646,-78.8190958
PAST SALE,September-28-2017,Townhouse,503 Suffolk Green Ln,Morrisville,NC,27506-6140,248700,3,2.5,Shiloh Grove,1642,1742,2011,967,151,115,Sold,,,http://www.redfin.com/NC/Morrisville/503-Suffolk-Green-Ln-27560/home/41333049,TMLS,2145607,N,Y,35.8482313,-78.8486331
PAST SALE,October-27-2017,Single Family Residential,109 Indian Overlook Ct,Morrisville,NC,27560,263000,4,2.0,Downing Glen,1466,9147,2001,938,179,32,Sold,,,http://www.redfin.com/NC/Morrisville/109-Indian-Overlook-Ct-27560/home/41259704,TMLS,2150151,N,Y,35.8289647,-78.8336855
PAST SALE,August-14-2017,Townhouse,101 Stockton Gorge Rd,Morrisville,NC,27560,263500,3,2.5,Shiloh Grove,1830,2178,2011,1012,144,115,Sold,,,http://www.redfin.com/NC/Morrisville/101-Stockton-Gorge-Rd-27560/home/41362902,TMLS,2138113,N,Y,35.847991,-78.8490092
PAST SALE,September-13-2017,Townhouse,1109 Checkerberry Dr,Morrisville,NC,27560,240000,2,2.5,Church Street Townes,1378,1742,2009,982,174,135,Sold,,,http://www.redfin.com/NC/Morrisville/1109-Checkerberry-Dr-27560/home/41328648,TMLS,2144845,N,Y,35.8272246,-78.8321311
PAST SALE,August-30-2017,Townhouse,116 Stockton Gorge Rd,Morrisville,NC,27560,262000,3,2.5,Shiloh Grove,1834,2613,2012,996,143,115,Sold,,,http://www.redfin.com/NC/Morrisville/116-Stockton-Gorge-Rd-27560/home/44528500,TMLS,2136532,N,Y,35.8483992,-78.8496178
PAST SALE,June-2-2017,Single Family Residential,1109 Foxglove Dr,Morrisville,NC,27560,235000,2,2.5,Church Street Townes,1391,1742,2011,1085,169,130,Sold,,,http://www.redfin.com/NC/Morrisville/1109-Foxglove-Dr-27560/home/41335163,TMLS,2128561,N,Y,35.8268703,-78.8333236
