SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-13-2018,Townhouse,630 Libson St,Durham,NC,27703,255000,4,3.0,Davis Park,1957,3484,2014,740,130,159,Sold,,,http://www.redfin.com/NC/Durham/630-Libson-St-27703/home/49676179,TMLS,2182831,N,Y,35.8815149,-78.8667613
PAST SALE,April-23-2020,Townhouse,603 Libson St,Durham,NC,27703,276000,4,3.0,Davis Park,1985,3136,2012,29,139,174,Sold,,,http://www.redfin.com/NC/DURHAM/603-LIBSON-ST-27703/home/49676449,TMLS,2308080,N,Y,35.882188,-78.866278
PAST SALE,,Townhouse,722 Sidepark St,Durham,NC,27703,258000,3,2.5,,1999,2657,2013,,129,,,,,http://www.redfin.com/NC/Durham/722-Sidepark-St-27703/home/49676161,,,N,Y,35.8823574,-78.8674409
