SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Unknown,Gallup Rd,Williams,NC,27517,147000,,,,,229038,,,,,,,,http://www.redfin.com/NC/Williams/Gallup-Rd-27517/home/41391347,,,N,Y,35.794417,-79.032719
PAST SALE,August-1-2017,Vacant Land,1150 Jordan Hills Loop,Chapel Hill,NC,27517,115000,,,Jordan Hills,,262971,,1025,,67,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1150-Jordan-Hills-Loop-27517/home/101651219,TMLS,2033781,N,Y,35.8062287,-79.0388494
PAST SALE,,Vacant Land,5523 Crescent Dr,Chapel Hill,NC,27517,83000,,,,,37723,,,,,,,,http://www.redfin.com/NC/Chapel-Hill/5523-Crescent-Dr-27517/home/43595974,,,N,Y,35.918213,-78.986592
PAST SALE,,Vacant Land,5608 Crescent Dr,Chapel Hill,NC,27517,65000,,,,,40816,,,,,,,,http://www.redfin.com/NC/Chapel-Hill/5608-Crescent-Dr-27517/home/43549910,,,N,Y,35.917148,-78.98706
PAST SALE,December-18-2017,Vacant Land,209 Rolling Meadows Ln,Chapel Hill,NC,27517,82000,,,The Legacy at Jordan Lake,,48439,,886,,174,Sold,,,http://www.redfin.com/NC/Chapel-Hill/209-Rolling-Meadows-Ln-27517/home/41388967,TMLS,2095197,N,Y,35.7644329,-79.056817
PAST SALE,July-27-2017,Vacant Land,417 Legacy Falls Dr,Chapel Hill,NC,27517,90000,,,The Legacy at Jordan Lake,,37897,,1030,,174,Sold,,,http://www.redfin.com/NC/Chapel-Hill/417-Legacy-Falls-Dr-N-27517/home/41389539,TMLS,2081312,N,Y,35.7611691,-79.056627
PAST SALE,,Unknown,Jordan Hills Loop,Williams,NC,27517,115000,,,,,262972,,,,,,,,http://www.redfin.com/NC/Williams/Jordan-Hills-Loop-27517/home/41367606,,,N,Y,35.806229,-79.038849
PAST SALE,February-8-2018,Vacant Land,339 Rolling Meadows Ln,Chapel Hill,NC,,95900,,,The Legacy at Jordan Lake,,21780,,834,,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/339-Rolling-Meadows-Ln-27517/home/41389389,TMLS,2164639,N,Y,35.763812,-79.055012
PAST SALE,September-14-2017,Vacant Land,221 Mountain Laurel,Chapel Hill,NC,,121500,,,The Preserve at Jordan Lake,,17424,,981,,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/221-Mountain-Laurel-27517/home/41366428,TMLS,2104897,N,Y,35.782494,-79.061083
PAST SALE,January-19-2018,Condo/Co-op,108 Ephesus Church Rd #304,Chapel Hill,NC,27517,97500,2,1.5,Hamlin Park,922,,1973,854,106,210,Sold,,,http://www.redfin.com/NC/Chapel-Hill/108-Ephesus-Church-Rd-27517/unit-304/home/44409809,TMLS,2155830,N,Y,35.9346665,-79.0205264
PAST SALE,,Condo/Co-op,1006 Kingswood Dr Unit A,Chapel Hill,NC,27517,132300,2,2.0,,986,,1991,,134,,,,,http://www.redfin.com/NC/Chapel-Hill/1006-Kingswood-Dr-27517/unit-A/home/43608212,,,N,Y,35.901485,-79.000101
PAST SALE,July-20-2018,Condo/Co-op,,Chapel Hill,NC,27517,105100,2,1.5,,920,,1973,672,114,210,Sold,,,http://www.redfin.com/NC/Chapel-Hill/Undisclosed-address-27517/home/44417300,TMLS,2197994,N,Y,35.9346665,-79.0205264
PAST SALE,October-15-2018,Condo/Co-op,365 Summerwalk Cir #365,Chapel Hill,NC,27517-8677,144000,2,2.0,Finley Forest Condos,975,,1988,585,148,189,Sold,,,http://www.redfin.com/NC/Chapel-Hill/365-Summerwalk-Cir-27517/unit-365/home/161378607,TMLS,2206749,N,Y,35.89546,-79.0108053
PAST SALE,October-15-2018,Condo/Co-op,108 Ephesus Church Rd #106,Chapel Hill,NC,27517,110000,2,1.0,Hamlin Park Condo,920,,1973,585,120,210,Sold,,,http://www.redfin.com/NC/Chapel-Hill/108-Ephesus-Church-Rd-27517/unit-106/home/44419814,TMLS,2212507,N,Y,35.9346665,-79.0205264
PAST SALE,September-7-2018,Condo/Co-op,108 Ephesus Church Rd #408,Chapel Hill,NC,27517,97100,2,1.5,Hamlin Park Condo,920,,1973,623,106,210,Sold,,,http://www.redfin.com/NC/Chapel-Hill/108-Ephesus-Church-Rd-27517/unit-408/home/44420312,TMLS,2204893,N,Y,35.9346665,-79.0205264
PAST SALE,July-19-2017,Condo/Co-op,1001 Kingswood Dr Unit C,Chapel Hill,NC,27517,146000,1,1.0,Bradford Place,700,,1991,1038,209,185,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1001-Kingswood-Dr-27517/unit-C/home/43607789,TMLS,2127823,N,Y,35.9002794,-79.0000892
PAST SALE,February-8-2018,Condo/Co-op,255 Summerwalk Cir #255,Chapel Hill,NC,27517,130000,2,2.0,Finley Forest Condos,950,,1985,834,137,189,Sold,,,http://www.redfin.com/NC/Chapel-Hill/255-Summerwalk-Cir-27517/unit-255/home/161378287,TMLS,2165168,N,Y,35.896641,-79.0103521
PAST SALE,,Condo/Co-op,366 Summerwalk Cir,Chapel Hill,NC,27517,143000,2,2.0,,1000,,1984,,143,,,,,http://www.redfin.com/NC/Chapel-Hill/366-Summerwalk-Cir-27517/home/43551064,,,N,Y,35.8964117,-79.008601
PAST SALE,,Condo/Co-op,704 Oak Tree Dr,Chapel Hill,NC,27517,142000,2,2.5,,1236,,1974,,115,,,,,http://www.redfin.com/NC/Chapel-Hill/704-Oak-Tree-Dr-27517/home/44417213,,,N,Y,35.9079059,-79.0203094
PAST SALE,September-15-2017,Condo/Co-op,137 Brookberry Cir #137,Chapel Hill,NC,27517,136000,2,2.5,Finley Forest Condos,1226,,1982,980,111,208,Sold,,,http://www.redfin.com/NC/Chapel-Hill/137-Brookberry-Cir-27517/unit-137/home/168808578,TMLS,2144022,N,Y,35.8993242,-79.0094013
PAST SALE,,Condo/Co-op,415 Summerwalk Cir,Chapel Hill,NC,27517,148500,3,2.5,,1372,,1989,,108,,,,,http://www.redfin.com/NC/Chapel-Hill/415-Summerwalk-Cir-27517/home/43550503,,,N,Y,35.895164,-79.009074
PAST SALE,July-23-2018,Condo/Co-op,424 Summerwalk Cir #424,Chapel Hill,NC,27517,140000,2,2.0,Finley Forest Condos,975,,1984,669,144,189,Sold,,,http://www.redfin.com/NC/Chapel-Hill/424-Summerwalk-Cir-27517/unit-424/home/161245214,TMLS,2197185,N,Y,35.8954354,-79.0093007
PAST SALE,October-31-2018,Condo/Co-op,108 Ephesus Church Rd #202,Chapel Hill,NC,27517,108000,2,1.5,Hamlin Park Condo,920,,1973,569,117,210,Sold,,,http://www.redfin.com/NC/Chapel-Hill/108-Ephesus-Church-Rd-27517/unit-202/home/44407854,TMLS,2219959,N,Y,35.9339587,-79.0204165
PAST SALE,,Condo/Co-op,194 Summerwalk Cir #186,Chapel Hill,NC,27517,150000,2,2.0,,1000,,1984,,150,,,,,http://www.redfin.com/NC/Chapel-Hill/194-Summerwalk-Cir-27517/unit-186/home/43551053,,,N,Y,35.8965691,-79.0099036
PAST SALE,,Condo/Co-op,265 Summerwalk Cir,Chapel Hill,NC,27517,140000,2,2.0,,975,,1985,,144,,,,,http://www.redfin.com/NC/Chapel-Hill/265-Summerwalk-Cir-27517/home/44417124,,,N,Y,35.896722,-79.010691
PAST SALE,,Single Family Residential,116 St Andrews Ln,Chapel Hill,NC,27517,148000,2,1.5,,1088,871,1986,,136,,,,,http://www.redfin.com/NC/Chapel-Hill/116-St-Andrews-Ln-27517/home/44396734,,,N,Y,35.93929,-79.010318
PAST SALE,,Condo/Co-op,166 Summerwalk Cir,Chapel Hill,NC,27517,130000,2,2.0,,1000,,1984,,130,,,,,http://www.redfin.com/NC/Chapel-Hill/166-Summerwalk-Cir-27517/home/43551050,,,N,Y,35.8969836,-79.0099
PAST SALE,September-7-2017,Condo/Co-op,364 Summerwalk Cir #364,Chapel Hill,NC,27517,126000,2,2.0,Finley Forest Condos,952,,1984,988,132,189,Sold,,,http://www.redfin.com/NC/Chapel-Hill/364-Summerwalk-Cir-27517/unit-364/home/168828530,TMLS,2134552,N,Y,35.8964221,-79.0086203
