,sale.type,sold.dat,property.type,address,city,state,ZIP.OR.POSTAL.CODE,zipcode,price,beds,baths,location,square.feet,lot.size,year.built,days.on.market,dollar.per.square.feet,hoa.per.moth,status,source,mls,favorite,interested,latitude,longitude,census_code,census_mid
1,PAST SALE,February-18-2020,Townhouse,5109 Jessip St #24,Morrisville,NC,27560,27560,298000,3,2.5,Page Park,1957,2613,2020,94,152,143,Sold,TMLS,2276040,N,Y,35.8885167,-78.831266,370630020283004,37063002028
2,PAST SALE,February-18-2020,Single Family Residential,1919 Bearkling Pl,Chapel Hill,NC,27517-9418,27517,349900,3,2.5,Downing Creek,2183,11674,1988,94,160,37,Sold,TMLS,2293714,N,Y,35.8972474,-78.9970642,370630020193009,37063002019
3,PAST SALE,February-18-2020,Single Family Residential,1702 Morehead Hill Ct,Durham,NC,27703-7996,27703,395000,4,4.5,Brightleaf,4182,7405,2007,94,94,43,Sold,TMLS,2292154,N,Y,35.9525675,-78.8177795,370630018082066,37063001808
4,PAST SALE,February-18-2020,Single Family Residential,106 Sunburst Dr Unit CB Lot 58,Durham,NC,27705,27705,675000,5,4.5,Canterbury,3476,10454,2019,94,194,70,Sold,TMLS,2264445,N,Y,36.0328167,-78.935357,370630017052019,37063001705
5,PAST SALE,February-19-2019,Single Family Residential,503 Leader Ln,Durham,NC,27703,27703,225000,4,2.5,Graycliff,2216,13503,1996,458,102,11,Sold,TMLS,2221205,N,Y,35.9895065,-78.8281278,370630018073014,37063001807
6,PAST SALE,February-19-2019,Single Family Residential,503 Leader Ln,Durham,NC,27703,27703,225000,4,2.5,Graycliff,2216,13503,1996,458,102,11,Sold,TMLS,2221205,N,Y,35.9895065,-78.8281278,370630018073014,37063001807
7,PAST SALE,February-19-2019,Single Family Residential,503 Leader Ln,Durham,NC,27703,27703,225000,4,2.5,Graycliff,2216,13503,1996,458,102,11,Sold,TMLS,2221205,N,Y,35.9895065,-78.8281278,370630018073014,37063001807
8,PAST SALE,February-19-2019,Townhouse,1103 Epiphany Rd #34,Morrisville,NC,27560,27560,298410,3,2.5,Durham,1830,2178,2018,458,163,140,Sold,TMLS,2171819,N,Y,35.9160191,-78.8122262,370630020282013,37063002028
9,PAST SALE,February-19-2019,Single Family Residential,304 Taylor Glen Dr,Morrisville,NC,27560-9431,27560,318000,4,2.5,Downing Glen,1918,7840,2001,458,166,32,Sold,TMLS,2211955,N,Y,35.8283937,-78.8347658,371830536071098,37183053607
10,PAST SALE,February-19-2019,Single Family Residential,1701 Haddington Dr,Durham,NC,27712,27712,360000,4,2.5,Treyburn,2765,25743,1993,458,130,46,Sold,TMLS,2221052,N,Y,36.1300571,-78.8625708,370630021001077,37063002100
11,PAST SALE,February-19-2019,Single Family Residential,210 Lakeshore Dr,Durham,NC,27713,27713,387000,4,2.5,Durham,2321,6969,2003,458,167,29,Sold,TMLS,2230835,N,Y,35.9234448,-78.9222606,370630020222002,37063002022
12,PAST SALE,February-19-2020,Single Family Residential,613 Quartz Dr,Durham,NC,27703,27703,174900,3,2,Stone Hill Estates,1391,7405,1999,93,126,10,Sold,TMLS,2296670,N,Y,35.9908254,-78.8224476,370630018073013,37063001807
13,PAST SALE,February-19-2020,Townhouse,1202 Denmark Manor Dr,Morrisville,NC,27560-6107,27560,234000,2,2.5,Shiloh Grove,1332,1306,2009,93,176,126,Sold,TMLS,2259607,N,Y,35.8510763,-78.8461939,371830536081032,37183053608
14,PAST SALE,February-19-2020,Townhouse,11011 David Stone Dr,Chapel Hill,NC,27517-7416,27517,237500,2,2.5,Cedar Terrace,1451,2178,2004,93,164,200,Sold,TMLS,2295264,N,Y,35.8514715,-79.023914,370370207011110,37037020701
15,PAST SALE,February-19-2020,Single Family Residential,1221 Bent Willow Dr,Durham,NC,27704,27704,239875,4,2.5,Durham,1680,6359,2019,93,143,40,Sold,TMLS,2285642,N,Y,36.0561039,-78.8834048,370630017093008,37063001709
16,PAST SALE,February-19-2020,Single Family Residential,2514 Oleander Dr,Durham,NC,27703,27703,335100,4,2.5,Magnolia Place,2786,9931,2003,93,120,40,Sold,TMLS,2295814,N,Y,35.9311495,-78.8250359,370630018092015,37063001809
17,PAST SALE,February-19-2020,Single Family Residential,6508 Glen Forest Dr,Chapel Hill,NC,27517-8645,27517,340000,4,3.5,Falconbridge,2817,12196,1998,93,121,6,Sold,TMLS,2294332,N,Y,35.9047738,-78.9838574,370630020193015,37063002019
18,PAST SALE,February-19-2020,Single Family Residential,1008 Janiskee Rd,Durham,NC,27703,27703,471660,4,3,Reserve at Ellis Crossing,2596,6359,2019,93,182,58,Sold,TMLS,2288506,N,Y,35.947317,-78.8572251,370630018091029,37063001809
19,PAST SALE,February-2-2018,Single Family Residential,112 Citrine Ct,Durham,NC,27703,27703,186500,3,2.5,Stone Hill Estates,1763,9975,2007,840,106,10,Sold,TMLS,2160686,N,Y,35.986576,-78.8254725,370630018073008,37063001807
20,PAST SALE,February-2-2018,Single Family Residential,1605 Capstone Dr,Durham,NC,27713,27713,484000,5,4.5,Jordan at Southpoint,3679,10890,2014,840,132,67,Sold,TMLS,2155712,N,Y,35.8696991,-78.9425468,370630020202012,37063002020
21,PAST SALE,February-2-2018,Single Family Residential,3508 Wild Harvest Ct,Durham,NC,27712-2969,27712,546000,4,3.5,Eno Woods,3936,75010,2000,840,139,10,Sold,TMLS,2135433,N,Y,36.0627095,-78.981472,370630016041021,37063001604
22,PAST SALE,February-2-2018,Single Family Residential,559 Legend Oaks Dr,Chapel Hill,NC,27517,27517,605000,5,4.5,Legend Oaks,4177,43734,2016,840,145,46,Sold,TMLS,2165201,N,Y,35.8424622,-79.0814082,370370201031010,37037020103
23,PAST SALE,February-20-2018,Townhouse,213 Canyon Lake Cir,Morrisville,NC,27560,27560,191000,3,2.5,The Terraces,1427,1742,2001,822,134,101,Sold,TMLS,2165413,N,Y,35.838254,-78.862505,371830536021056,37183053602
24,PAST SALE,February-20-2018,Single Family Residential,140 Windrush Ln,Durham,NC,27703,27703,285000,4,2.5,Ashton Hall,2680,6969,2008,822,106,60,Sold,TMLS,2162663,N,Y,35.9571372,-78.8286419,370630018082052,37063001808
25,PAST SALE,February-20-2018,Single Family Residential,2 Tall Leaf Trl,Durham,NC,27712,27712,315000,4,2.5,Ashfield Place,3085,11325,2010,822,102,55,Sold,TMLS,2167544,N,Y,36.0981978,-78.9276971,370630016032002,37063001603
26,PAST SALE,February-20-2018,Townhouse,4309 Pond Pine Trl,Morrisville,NC,27519,27519,339000,3,2.5,Phillips Place,1938,2700,2017,822,175,130,Sold,TMLS,2148781,N,Y,35.8341656,-78.8734527,371830536021028,37183053602
27,PAST SALE,February-20-2018,Single Family Residential,1010 Lubbock Ln,Durham,NC,27703,27703,345000,5,3,Brightleaf,2759,8668,2017,822,125,88,Sold,TMLS,2157576,N,Y,35.9537532,-78.809844,370630018082068,37063001808
28,PAST SALE,February-20-2018,Single Family Residential,907 Adeline Ct,Durham,NC,27713,27713,535845,4,3.5,Durham,2981,6316,2018,822,180,75,Sold,TMLS,2163880,N,Y,35.8914537,-78.9347287,370630020202002,37063002020
29,PAST SALE,February-20-2019,Townhouse,137 Holly Berry Ct,Durham,NC,27703,27703,227000,3,2.5,Rustica Oaks,1889,2613,2014,457,120,147,Sold,TMLS,2233581,N,Y,35.9476011,-78.8811448,370630020271014,37063002027
30,PAST SALE,February-20-2019,Townhouse,1045 Lakebrink Dr #87,Morrisville,NC,27560,27560,355000,4,3,Wake,2140,2613,2018,457,166,108,Sold,TMLS,2210548,N,Y,35.8430469,-78.8484651,371830536081050,37183053608
31,PAST SALE,February-20-2020,Single Family Residential,406 Burrell Rd,Durham,NC,27703,27703,228000,4,2.5,Gatewood Forest,1874,11369,2002,92,122,28,Sold,TMLS,2292858,N,Y,35.9921016,-78.8181556,370630018073026,37063001807
32,PAST SALE,February-20-2020,Single Family Residential,3213 Ridgestone Pkwy,Durham,NC,27712-3137,27712,326500,4,2.5,Fieldstone by the Eno,2309,23043,1993,92,141,12,Sold,TMLS,2291643,N,Y,36.0668068,-78.9467228,370630017074002,37063001707
33,PAST SALE,February-20-2020,Single Family Residential,4539 Cottendale Dr,Durham,NC,27703-6243,27703,330000,4,3.5,Wood Chapel,3072,8755,2008,92,107,25,Sold,TMLS,2296952,N,Y,35.939124,-78.8297162,370630018092004,37063001809
