SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-19-2017,Single Family Residential,3708 St Marks Rd,Durham,NC,27707,639000,5,3.5,Hope Valley Country Club,4638,23653,1971,946,138,,Sold,,,http://www.redfin.com/NC/Durham/3708-St-Marks-Rd-27707/home/43551331,TMLS,2145394,N,Y,35.9496575,-78.9601335
PAST SALE,July-6-2017,Single Family Residential,12 Pilling Pl,Durham,NC,27707,750000,5,4.0,New Hope Valley,4595,29620,1989,1051,163,,Sold,,,http://www.redfin.com/NC/Durham/12-Pilling-Pl-27707/home/43548731,TMLS,2120548,N,Y,35.9484536,-78.9661865
PAST SALE,May-31-2017,Single Family Residential,3502 Westover Rd,Durham,NC,27707,675000,4,3.5,Hope Valley Country Club,3560,22215,1976,1087,190,,Sold,,,http://www.redfin.com/NC/Durham/3502-Westover-Rd-27707/home/43539487,TMLS,2109939,N,Y,35.9472371,-78.957501
PAST SALE,December-18-2017,Single Family Residential,3603 Hope Valley Rd,Durham,NC,27707,505000,4,3.0,Hope Valley,2851,57934,1951,886,177,,Sold,,,http://www.redfin.com/NC/Durham/3603-Hope-Valley-Rd-27707/home/43548577,TMLS,2154066,N,Y,35.9491391,-78.938702
PAST SALE,November-21-2017,Single Family Residential,4709 Marena Pl,Durham,NC,27707,409900,4,3.0,Marena Place,3092,11325,2007,913,133,,Sold,,,http://www.redfin.com/NC/Durham/4709-Marena-Pl-27707/home/43598084,TMLS,2143200,N,Y,35.931431,-78.9963319
PAST SALE,November-6-2017,Single Family Residential,2211 Chase St,Durham,NC,27707,750000,6,5.0,Forest Hills,5891,37156,1965,928,127,,Sold,,,http://www.redfin.com/NC/Durham/2211-Chase-St-27707/home/43527426,TMLS,2150195,N,Y,35.9737629,-78.9156929
PAST SALE,,Single Family Residential,8 Duxbury Ct,Durham,NC,27707,518500,4,4.5,,3452,31842,1988,,150,,,,,http://www.redfin.com/NC/Durham/8-Duxbury-Ct-27707/home/43548081,,,N,Y,35.9354303,-78.9682851
PAST SALE,August-9-2017,Single Family Residential,4526 Farrington Rd,Durham,NC,27707,455000,5,3.0,Enclave on Farrington,3141,16552,2014,1017,145,41,Sold,,,http://www.redfin.com/NC/Durham/4526-Farrington-Rd-27707/home/43608253,TMLS,2109291,N,Y,35.9359366,-78.9862427
PAST SALE,August-10-2017,Single Family Residential,3510 Westover Rd,Durham,NC,27707,562000,5,4.5,Hope Valley,4497,21344,1961,1016,125,,Sold,,,http://www.redfin.com/NC/Durham/3510-Westover-Rd-27707/home/43545358,TMLS,2101280,N,Y,35.9481655,-78.957575
PAST SALE,June-2-2017,Single Family Residential,4027 Swarthmore Rd,Durham,NC,27707,660000,4,3.5,Marydell Estates,3601,34412,1987,1085,183,,Sold,,,http://www.redfin.com/NC/Durham/4027-Swarthmore-Rd-27707/home/43545964,TMLS,2121250,N,Y,35.9335985,-78.9637124
PAST SALE,January-11-2018,Single Family Residential,59 Treviso Pl,Durham,NC,27707,895000,4,4.5,Maida Vale,3738,9583,2017,862,239,225,Sold,,,http://www.redfin.com/NC/Durham/59-Treviso-Pl-27707/home/43606815,TMLS,2135366,N,Y,35.9301699,-78.998931
PAST SALE,July-24-2017,Single Family Residential,32 Oak Dr,Durham,NC,27707-2132,635000,4,3.5,Forest Hills,3127,25264,1938,1033,203,,Sold,,,http://www.redfin.com/NC/Durham/32-Oak-Dr-27707/home/43530988,TMLS,2122190,N,Y,35.9801717,-78.9181056
PAST SALE,October-30-2017,Single Family Residential,3805 St Marks Rd,Durham,NC,27707,565000,4,3.5,Hope Valley,3618,24437,1971,935,156,,Sold,,,http://www.redfin.com/NC/Durham/3805-St-Marks-Rd-27707/home/43548815,TMLS,2152374,N,Y,35.9468326,-78.9590187
