SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-7-2017,Single Family Residential,102 Tennwood Ct,Durham,NC,27712,579500,5,4.5,Treyburn,4925,40075,1995,927,118,46,Sold,,,http://www.redfin.com/NC/Durham/102-Tennwood-Ct-27712/home/43583858,TMLS,2143858,N,Y,36.1216717,-78.8598728
PAST SALE,November-30-2017,Single Family Residential,1910 Mystic Dr,Durham,NC,27712,303500,5,3.0,Grande Park,2783,12719,2001,904,109,19,Sold,,,http://www.redfin.com/NC/Durham/1910-Mystic-Dr-27712/home/43588226,TMLS,2152091,N,Y,36.0865541,-78.945408
PAST SALE,December-1-2017,Single Family Residential,4 Chevoit Ct,Durham,NC,27712,555000,4,3.5,Treyburn,4912,44431,1991,903,113,48,Sold,,,http://www.redfin.com/NC/Durham/4-Chevoit-Ct-27712/home/43586434,TMLS,2123291,N,Y,36.1204257,-78.8705094
PAST SALE,January-16-2018,Single Family Residential,316 Villa Dr,Durham,NC,27712,637500,4,5.0,Treyburn,5527,47916,1998,857,115,46,Sold,,,http://www.redfin.com/NC/Durham/316-Villa-Dr-27712/home/43594768,TMLS,2121860,N,Y,36.1196549,-78.8622833
PAST SALE,October-23-2017,Single Family Residential,2202 Thunder Rd,Durham,NC,27712,307000,4,3.0,Placid Valley,2602,45738,1979,942,118,,Sold,,,http://www.redfin.com/NC/Durham/2202-Thunder-Rd-27712/home/43576067,TMLS,2158313,N,Y,36.068269,-78.9590731
PAST SALE,April-29-2019,Single Family Residential,203 Tennwood Ct,Durham,NC,27712,570000,4,4.5,Treyburn,4357,48743,1997,389,131,46,Sold,,,http://www.redfin.com/NC/Durham/203-Tennwood-Ct-27712/home/43583834,TMLS,2213370,N,Y,36.1192061,-78.8583911
PAST SALE,February-22-2019,Single Family Residential,8006 Old Trail Dr,Durham,NC,27712,732500,4,4.5,Treyburn,5951,56715,2004,455,123,46,Sold,,,http://www.redfin.com/NC/Durham/8006-Old-Trail-Dr-27712/home/43584193,TMLS,2227631,N,Y,36.1320915,-78.8590103
PAST SALE,March-28-2019,Single Family Residential,112 River Run Rd,Durham,NC,27712,450000,4,3.5,Rivers Edge,3372,10410,2013,421,133,40,Sold,,,http://www.redfin.com/NC/Durham/112-River-Run-Rd-27712/home/43595524,TMLS,2233246,N,Y,36.0590566,-78.9538592
PAST SALE,March-8-2019,Single Family Residential,317 Villa Dr,Durham,NC,27712,675000,5,5.0,Treyburn,4353,48220,2016,441,155,46,Sold,,,http://www.redfin.com/NC/Durham/317-Villa-Dr-27712/home/43584771,TMLS,2223727,N,Y,36.1202952,-78.8612881
PAST SALE,June-5-2018,Single Family Residential,9 Trillium Ct,Durham,NC,27712-8739,319900,4,3.0,Treyburn,2263,13198,2010,717,141,46,Sold,,,http://www.redfin.com/NC/Durham/9-Trillium-Ct-27712/home/43592815,TMLS,2173528,N,Y,36.1265577,-78.8509602
PAST SALE,July-12-2018,Single Family Residential,905 Vintage Hill Pkwy,Durham,NC,27712,649900,4,4.5,Treyburn Point,4636,44561,2006,680,140,46,Sold,,,http://www.redfin.com/NC/Durham/905-Vintage-Hill-Pkwy-27712/home/43606034,TMLS,2183648,N,Y,36.1086968,-78.877563
PAST SALE,April-29-2019,Single Family Residential,1 Hunters Green Ct,Durham,NC,27712-8968,420000,4,3.5,Treyburn,3565,30492,2004,389,118,46,Sold,,,http://www.redfin.com/NC/Durham/1-Hunters-Green-Ct-27712/home/43584701,TMLS,2240666,N,Y,36.1309695,-78.8597843
PAST SALE,October-30-2018,Single Family Residential,2112 Vintage Hill Dr,Durham,NC,27712,715000,4,4.5,Treyburn,5857,94307,1989,570,122,46,Sold,,,http://www.redfin.com/NC/Durham/2112-Vintage-Hill-Dr-27712/home/43585467,TMLS,2207298,N,Y,36.1252214,-78.8706863
PAST SALE,August-17-2018,Single Family Residential,2308 Vintage Hill Dr,Durham,NC,27712,575000,4,4.0,Treyburn,5711,53883,1993,644,101,50,Sold,,,http://www.redfin.com/NC/Durham/2308-Vintage-Hill-Dr-27712/home/43583970,TMLS,2164230,N,Y,36.1220592,-78.8718361
PAST SALE,November-15-2018,Single Family Residential,911 Black Boulder Trl,Durham,NC,27712-4130,314000,4,2.5,Ashfield Place,2932,8624,2010,554,107,55,Sold,,,http://www.redfin.com/NC/Durham/911-Black-Boulder-Trl-27712/home/43610435,TMLS,2209584,N,Y,36.0914431,-78.9276821
PAST SALE,October-22-2018,Single Family Residential,7814 Grand Lillie Dr,Durham,NC,27712,315000,4,3.0,Durham,3853,342512,2001,578,82,,Sold,,,http://www.redfin.com/NC/Durham/7814-Grand-Lillie-Dr-27712/home/43580729,TMLS,2208904,N,Y,36.119623,-78.937955
PAST SALE,May-16-2019,Single Family Residential,1016 Valley Rose Way Unit Homesite 42 Azalea C,Durham,NC,27712,489990,5,4.0,Valley Springs,3592,17424,2019,372,136,48,Sold,,,http://www.redfin.com/NC/Durham/1016-Valley-Rose-Way-27712/unit-Homesite-42-Azalea-C/home/160374236,TMLS,2235015,N,Y,36.049206,-78.957436
PAST SALE,June-28-2019,Single Family Residential,1005 Valley Rose Way Unit Homesite 18 Azalea C Basement,Durham,NC,27712,575000,5,4.0,Valley Springs,3320,32495,2019,329,173,48,Sold,,,http://www.redfin.com/NC/Durham/1005-Valley-Rose-Way-27712/unit-Homesite-18-Azalea-C-Basement/home/151064738,TMLS,2233239,N,Y,36.048766,-78.957298
PAST SALE,June-5-2019,Single Family Residential,1014 Lakeview Rd,Durham,NC,27712,330000,4,2.5,Ashfield Place,2847,10018,2007,352,116,55,Sold,,,http://www.redfin.com/NC/Durham/1014-Lakeview-Rd-27712/home/43608122,TMLS,2254046,N,Y,36.096853,-78.928695
PAST SALE,June-11-2019,Single Family Residential,1119 Valley Rose Way,Durham,NC,27712,618044,6,5.5,Valley Springs,4352,17206,2019,346,142,48,Sold,,,http://www.redfin.com/NC/Durham/1119-Valley-Rose-Way-27712/home/160564089,TMLS,2239256,N,Y,36.0520845,-78.956136
PAST SALE,June-20-2019,Single Family Residential,1113 Valley Rose Way,Durham,NC,27712,627662,5,4.5,Valley Springs,4138,19166,2019,337,152,48,Sold,,,http://www.redfin.com/NC/Durham/1113-Valley-Rose-Way-27712/home/166855538,TMLS,2257479,N,Y,36.0520845,-78.956136
PAST SALE,March-16-2018,Single Family Residential,1712 Haddington Dr,Durham,NC,27712,390000,5,3.0,Treyburn,3589,30012,1994,798,109,46,Sold,,,http://www.redfin.com/NC/Durham/1712-Haddington-Dr-27712/home/43583928,TMLS,2171256,N,Y,36.1292583,-78.8607574
PAST SALE,July-11-2017,Single Family Residential,214 Tennwood Ct,Durham,NC,27712,589000,4,3.5,Treyburn,3838,51400,2008,1046,153,44,Sold,,,http://www.redfin.com/NC/Durham/214-Tennwood-Ct-27712/home/43585843,TMLS,2125058,N,Y,36.1173421,-78.860868
PAST SALE,May-2-2018,Single Family Residential,19 Covington Ln,Durham,NC,27712,380000,4,4.5,Treyburn,3896,25134,1998,751,98,46,Sold,,,http://www.redfin.com/NC/Durham/19-Covington-Ln-27712/home/43583742,TMLS,2165992,N,Y,36.1280127,-78.8613324
PAST SALE,February-23-2018,Single Family Residential,3 Hunters Green Ct,Durham,NC,27712,410000,4,3.5,Treyburn,3711,23958,2001,819,110,50,Sold,,,http://www.redfin.com/NC/Durham/3-Hunters-Green-Ct-27712/home/43584700,TMLS,2154696,N,Y,36.1307742,-78.8601603
PAST SALE,May-11-2018,Single Family Residential,6 Tall Leaf Trl,Durham,NC,27712,308500,4,2.5,Ashfield Place,3091,9583,2009,742,100,55,Sold,,,http://www.redfin.com/NC/Durham/6-Tall-Leaf-Trl-27712/home/43610168,TMLS,2174991,N,Y,36.0986673,-78.9277855
PAST SALE,July-19-2017,Single Family Residential,8 Queensland Ct,Durham,NC,27712,300000,4,3.0,Autumn Ridge,3250,18295,2001,1038,92,15,Sold,,,http://www.redfin.com/NC/Durham/8-Queensland-Ct-27712/home/43588589,TMLS,2130677,N,Y,36.0840594,-78.9357655
PAST SALE,April-6-2018,Single Family Residential,7035 Calais Dr,Durham,NC,27712,401000,4,2.5,Deer Forest,3707,75097,1996,777,108,,Sold,,,http://www.redfin.com/NC/Durham/7035-Calais-Dr-27712/home/43581771,TMLS,2176284,N,Y,36.1058594,-78.9573057
PAST SALE,June-13-2018,Single Family Residential,6407 Cabin Branch Dr,Durham,NC,27712,459000,4,3.5,Treyburn,3186,15420,2016,709,144,42,Sold,,,http://www.redfin.com/NC/Durham/6407-Cabin-Branch-Dr-27712/home/43607514,TMLS,2180703,N,Y,36.1079427,-78.8735387
PAST SALE,February-27-2018,Single Family Residential,1017 Valley Rose Way,Durham,NC,27712,493105,4,3.0,Valley Springs,3027,18295,2018,815,163,48,Sold,,,http://www.redfin.com/NC/Durham/1017-Valley-Rose-Way-27712/home/147232538,TMLS,2163360,N,Y,36.050578,-78.957991
PAST SALE,April-9-2018,Single Family Residential,28 Northern Way Ct,Durham,NC,27712,356401,4,3.0,Northern Way,2395,20037,2018,774,149,67,Sold,,,http://www.redfin.com/NC/Durham/28-Northern-Way-Ct-27712/home/43606951,TMLS,2164306,N,Y,36.092612,-78.909632
PAST SALE,September-22-2017,Single Family Residential,627 Red Cedar Cir,Durham,NC,27712,329000,5,3.5,Treyburn,3050,10497,2006,973,108,46,Sold,,,http://www.redfin.com/NC/Durham/627-Red-Cedar-Cir-27712/home/43598092,TMLS,2145231,N,Y,36.1302861,-78.8556267
PAST SALE,March-5-2018,Single Family Residential,2918 Reynolda Cir,Durham,NC,27712,460000,5,4.5,Eno Forest,3848,20081,2006,809,120,38,Sold,,,http://www.redfin.com/NC/Durham/2918-Reynolda-Cir-27712/home/43604784,TMLS,2125173,N,Y,36.0678571,-78.9373725
PAST SALE,April-2-2018,Single Family Residential,1116 Crescent Moon Ct,Durham,NC,27712,505470,4,3.0,Valley Springs,3027,18295,2018,781,167,48,Sold,,,http://www.redfin.com/NC/Durham/1116-Crescent-Moon-Ct-27712/home/145316580,TMLS,2180776,N,Y,36.050364,-78.956104
PAST SALE,May-31-2018,Single Family Residential,1113 Crescent Moon Ct,Durham,NC,27712,524000,5,4.0,Valley Springs,3366,17859,2018,722,156,48,Sold,,,http://www.redfin.com/NC/Durham/1113-Crescent-Moon-Ct-27712/home/146092063,TMLS,2168130,N,Y,36.05004,-78.95665
PAST SALE,December-29-2017,Single Family Residential,1025 Valley Rose Way,Durham,NC,27712,505405,4,3.0,Valley Springs,3027,20255,2018,875,167,48,Sold,,,http://www.redfin.com/NC/Durham/1025-Valley-Rose-Way-27712/home/147232536,TMLS,2153101,N,Y,36.05152,-78.957271
