SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-1-2018,Townhouse,11 Suncrest Ct,Durham,NC,27703,173000,3,2.5,Taylor Estates,1471,1350,2006,660,118,135,Sold,,,http://www.redfin.com/NC/Durham/11-Suncrest-Ct-27703/home/43600780,TMLS,2199455,N,Y,35.9408783,-78.8424117
PAST SALE,January-18-2019,Townhouse,650 Ganyard Farm Way #19,Durham,NC,27703-6272,166400,3,3.5,Ganyard Farm,1639,1176,2007,490,102,75,Sold,,,http://www.redfin.com/NC/Durham/650-Ganyard-Farm-Way-27703/unit-19/home/43610249,TMLS,2224777,N,Y,35.9829813,-78.8329
PAST SALE,April-18-2019,Townhouse,650 Ganyard Farm Way #3,Durham,NC,27703-6271,167000,3,3.5,Ganyard Farm,1645,1176,2008,400,102,75,Sold,,,http://www.redfin.com/NC/Durham/650-Ganyard-Farm-Way-27703/unit-3/home/43611220,TMLS,2243679,N,Y,35.9831156,-78.8334328
PAST SALE,September-25-2019,Single Family Residential,208 Ruby Ridge Rd,Durham,NC,27703,169000,4,3.0,Hickory Glen,1471,31537,2000,240,115,,Sold,,,http://www.redfin.com/NC/Durham/208-Ruby-Ridge-Rd-27703/home/43589750,TMLS,2271553,N,Y,35.9852042,-78.848461
PAST SALE,January-24-2018,Single Family Residential,3 Woodsprite Ct,Durham,NC,27703,154500,3,2.0,Greenwood Estates,1039,15681,1990,849,149,,Sold,,,http://www.redfin.com/NC/Durham/3-Woodsprite-Ct-27703/home/43566437,TMLS,2162828,N,Y,35.9948691,-78.8074027
PAST SALE,January-3-2018,Single Family Residential,105 Pebblestone Dr,Durham,NC,27703,172000,3,2.5,Ridgewood,1540,11891,1999,870,112,17,Sold,,,http://www.redfin.com/NC/Durham/105-Pebblestone-Dr-27703/home/43587830,TMLS,2158998,N,Y,35.9984671,-78.8126244
PAST SALE,November-7-2017,Single Family Residential,409 Burrell Rd,Durham,NC,27703,161250,3,2.5,Gatewood Forest,1673,10497,2002,927,96,28,Sold,,,http://www.redfin.com/NC/Durham/409-Burrell-Rd-27703/home/43603689,TMLS,2149630,N,Y,35.9925967,-78.8185096
PAST SALE,July-26-2017,Single Family Residential,1125 Lady Banks Dr,Durham,NC,27703,165000,3,2.5,Rosewood,1639,5837,1997,1031,101,,Sold,,,http://www.redfin.com/NC/Durham/1125-Lady-Banks-Dr-27703/home/43560659,TMLS,2133647,N,Y,35.9686299,-78.8380004
PAST SALE,December-29-2017,Single Family Residential,5511 Hadrian Dr,Durham,NC,27703-7123,165000,4,2.5,Greenwood,2016,24654,1990,875,82,,Sold,,,http://www.redfin.com/NC/Durham/5511-Hadrian-Dr-27703/home/43565923,TMLS,2161250,N,Y,35.9893519,-78.8076682
PAST SALE,,Single Family Residential,12 Olivene Dr,Durham,NC,27703,170000,3,2.5,,1430,9627,2007,,119,,,,,http://www.redfin.com/NC/Durham/12-Olivene-Dr-27703/home/43602165,,,N,Y,35.9885227,-78.8252384
