SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-11-2020,Single Family Residential,956 Spring Meadow Dr,Durham,NC,27713,318000,5,2.5,Wynstead at Hope Valley,2869,8102,2006,72,111,35,Sold,,,http://www.redfin.com/NC/Durham/956-Spring-Meadow-Dr-27713/home/43609618,TMLS,2300182,N,Y,35.9400336,-78.9243822
PAST SALE,August-13-2019,Single Family Residential,5500 Frenchmans Creek Dr,Durham,NC,27713,330000,4,2.5,Frenchmans Creek,2323,22912,1989,283,142,,Sold,,,http://www.redfin.com/NC/Durham/5500-Frenchmans-Creek-Dr-27713/home/43559929,TMLS,2266653,N,Y,35.8862248,-78.9013512
PAST SALE,October-4-2019,Single Family Residential,4901 Bridgewood Dr,Durham,NC,27713,325000,4,2.5,Stonebridge,2444,10715,1994,231,133,27,Sold,,,http://www.redfin.com/NC/Durham/4901-Bridgewood-Dr-27713/home/43553098,TMLS,2275780,N,Y,35.9350969,-78.9374972
PAST SALE,July-26-2017,Single Family Residential,1306 Professor Pl,Durham,NC,27713,333416,4,2.5,Chancellors Ridge,2518,11194,2004,1031,132,39,Sold,,,http://www.redfin.com/NC/Durham/1306-Professor-Pl-27713/home/43601873,TMLS,2125017,N,Y,35.8887588,-78.9448889
PAST SALE,June-26-2017,Single Family Residential,106 Baccalaureate Blvd,Durham,NC,27713,310000,4,2.5,Chancellors Ridge,1986,7623,2002,1061,156,39,Sold,,,http://www.redfin.com/NC/Durham/106-Baccalaureate-Blvd-27713/home/43593099,TMLS,2124658,N,Y,35.889262,-78.9507661
PAST SALE,,Single Family Residential,207 Wendover Ln,Durham,NC,27713,322000,4,3.0,,2841,14157,1994,,113,,,,,http://www.redfin.com/NC/Durham/207-Wendover-Ln-27713/home/43554295,,,N,Y,35.8837757,-78.9301722
PAST SALE,November-1-2017,Single Family Residential,1204 Professor Pl,Durham,NC,27713,340000,4,2.5,Chancellors Ridge,2400,10018,2004,933,142,39,Sold,,,http://www.redfin.com/NC/Durham/1204-Professor-Pl-27713/home/43596797,TMLS,2146407,N,Y,35.8883269,-78.9461262
PAST SALE,August-24-2017,Single Family Residential,5205 Longwood Dr,Durham,NC,27713-8013,319000,4,2.5,Oakbrook,3100,13721,1988,1002,103,20,Sold,,,http://www.redfin.com/NC/Durham/5205-Longwood-Dr-27713/home/43553055,TMLS,2131322,N,Y,35.9300642,-78.9405251
PAST SALE,June-15-2017,Single Family Residential,4603 Rollingwood Dr,Durham,NC,27713,320000,4,3.0,Woodcroft,2449,11674,1985,1072,131,18,Sold,,,http://www.redfin.com/NC/Durham/4603-Rollingwood-Dr-27713/home/43552349,TMLS,2124994,N,Y,35.91955,-78.939653
PAST SALE,December-29-2017,Single Family Residential,704 Wellingham Dr,Durham,NC,27713,300500,4,3.0,Wellington Forest,2826,9583,1994,875,106,65,Sold,,,http://www.redfin.com/NC/Durham/704-Wellingham-Dr-27713/home/43554655,TMLS,2155472,N,Y,35.9037518,-78.925222
