SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-21-2017,Single Family Residential,16 Kendall Dr,Chapel Hill,NC,27517,740000,4,2.5,The Oaks,3631,26571,1983,1066,204,4,Sold,,,http://www.redfin.com/NC/Chapel-Hill/16-Kendall-Dr-27517/home/44393679,TMLS,2113594,N,Y,35.9170627,-79.0196541
PAST SALE,July-27-2017,Single Family Residential,12815 Morehead,Chapel Hill,NC,27517,680000,4,4.0,Governors Club,3935,66646,1994,1030,173,206,Sold,,,http://www.redfin.com/NC/Chapel-Hill/12815-Morehead-27517/home/41368079,TMLS,2053381,N,Y,35.8431505,-79.0455473
PAST SALE,July-30-2018,Townhouse,308 W Barbee Chapel Rd,Chapel Hill,NC,27517,739900,4,3.5,Meadowmont,3913,4356,2002,662,189,282,Sold,,,http://www.redfin.com/NC/Chapel-Hill/308-W-Barbee-Chapel-Rd-27517/home/44408982,TMLS,2114616,N,Y,35.9072677,-79.0145086
PAST SALE,June-8-2018,Single Family Residential,108 New Castle Dr,Chapel Hill,NC,27517,995000,4,4.5,The Oaks,4276,26571,1987,714,233,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/108-New-Castle-Dr-27517/home/44413739,TMLS,2187842,N,Y,35.9209917,-79.0067142
PAST SALE,August-3-2018,Single Family Residential,55203 Broughton,Chapel Hill,NC,27517,925000,3,3.5,Governors Club,3612,37026,2014,658,256,244,Sold,,,http://www.redfin.com/NC/Chapel-Hill/55203-Broughton-27517/home/41375513,TMLS,2189859,N,Y,35.8498406,-79.0423247
PAST SALE,March-14-2018,Single Family Residential,11020 Governors Dr,Chapel Hill,NC,27517,795000,4,4.0,Governors Club,5086,43560,1993,800,156,222,Sold,,,http://www.redfin.com/NC/Chapel-Hill/11020-Governors-Dr-27517/home/41375036,TMLS,2161123,N,Y,35.8448299,-79.0455032
PAST SALE,August-15-2018,Single Family Residential,97630 Franklin Rdg,Chapel Hill,NC,27517,1316108,4,5.5,Estates,7408,33105,2006,646,178,242,Sold,,,http://www.redfin.com/NC/Chapel-Hill/97630-Franklin-Rdg-27517/home/41377825,TMLS,2177345,N,Y,35.8497131,-79.0514522
PAST SALE,July-3-2018,Single Family Residential,709 Pinehurst Dr,Chapel Hill,NC,27517,1000000,3,3.0,The Oaks,3816,34848,1990,689,262,100,Sold,,,http://www.redfin.com/NC/Chapel-Hill/709-Pinehurst-Dr-27517/home/44394285,TMLS,2187999,N,Y,35.93063,-79.0076306
PAST SALE,April-1-2020,Townhouse,207 Oval Park Pl,Chapel Hill,NC,27517,900000,4,6.0,Meadowmont,4445,5662,2002,51,202,396,Sold,,,http://www.redfin.com/NC/Chapel-Hill/207-Oval-Park-Pl-27517/home/44408992,TMLS,2269732,N,Y,35.9077235,-79.0139787
PAST SALE,April-1-2020,Single Family Residential,116 Eagles Watch Ln,Chapel Hill,NC,27517,705500,6,6.5,Westfall,5823,30492,2016,51,121,130,Sold,,,http://www.redfin.com/NC/Chapel-Hill/116-Eagles-Watch-Ln-27517/home/41392757,TMLS,2256101,N,Y,35.820899,-79.0546628
PAST SALE,June-8-2018,Single Family Residential,10004 Vail Dr,Chapel Hill,NC,27514,890000,6,5.0,Governors Forest,5294,31406,2006,714,168,89,Sold,,,http://www.redfin.com/NC/Chapel-Hill/10004-Vail-Dr-27517/home/41374251,TMLS,2177341,N,Y,35.8523671,-79.0142215
PAST SALE,October-31-2019,Single Family Residential,82104 Ehringhaus,Chapel Hill,NC,27517,679000,4,4.0,Morehead Forest,3772,11935,2000,204,180,269,Sold,,,http://www.redfin.com/NC/Chapel-Hill/82104-Ehringhaus-27517/home/41372992,TMLS,2247116,N,Y,35.83585,-79.0338
PAST SALE,April-30-2020,Single Family Residential,48 Bear Tree Crk,Chapel Hill,NC,27517,650000,4,4.5,The Preserve at Jordan Lake,5215,14374,2003,22,125,92,Sold,,,http://www.redfin.com/NC/Chapel-Hill/48-Bear-Tree-Crk-27517/home/41375563,TMLS,2280414,N,Y,35.7703494,-79.0542876
PAST SALE,May-8-2019,Single Family Residential,23 Leatherwood Ln,Chapel Hill,NC,27517,875048,4,4.0,Westfall,3763,44953,2019,380,233,109,Sold,,,http://www.redfin.com/NC/Chapel-Hill/23-Leatherwood-Ln-27517/home/41392748,TMLS,2217712,N,Y,35.8224802,-79.055501
PAST SALE,August-22-2018,Single Family Residential,13100 Morehead,Chapel Hill,NC,27517,975000,5,6.0,Estates,7444,23958,2004,639,131,244,Sold,,,http://www.redfin.com/NC/Chapel-Hill/13100-Morehead-27517/home/41373293,TMLS,2136839,N,Y,35.8463783,-79.0534268
PAST SALE,June-6-2018,Single Family Residential,1160 The Preserve Trl,Chapel Hill,NC,27517-7636,650000,4,3.5,The Preserve at Jordan Lake,4852,21780,2005,716,134,83,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1160-The-Preserve-Trl-27517/home/41379792,TMLS,2173281,N,Y,35.7815142,-79.053162
PAST SALE,,Condo/Co-op,511 Cedar Berry Ln #101,Chapel Hill,NC,27517,650000,2,2.5,,2314,,2003,,281,,,,,http://www.redfin.com/NC/Chapel-Hill/511-Cedar-Berry-Ln-27517/unit-101/home/43601165,,,N,Y,35.9073796,-79.0062969
PAST SALE,,Single Family Residential,107 Tweed Pl,Chapel Hill,NC,27517,870000,2,2.5,,3080,16248,1996,,282,,,,,http://www.redfin.com/NC/Chapel-Hill/107-Tweed-Pl-27517/home/43551396,,,N,Y,35.9204184,-79.0014145
PAST SALE,,Single Family Residential,100 Patton Pl,Chapel Hill,NC,27517,850000,5,3.5,,3462,32060,1994,,246,,,,,http://www.redfin.com/NC/Chapel-Hill/100-Patton-Pl-27517/home/43549325,,,N,Y,35.9292865,-79.0029824
PAST SALE,October-19-2018,Single Family Residential,103 Springdale Way,Chapel Hill,NC,27517,729000,6,5.5,Meadowmont,5569,12937,2005,581,131,41,Sold,,,http://www.redfin.com/NC/Chapel-Hill/103-Springdale-Way-27517/home/43600229,TMLS,2205913,N,Y,35.9148909,-79.0046164
PAST SALE,March-15-2018,Townhouse,211 Meadowmont Ln #1,Chapel Hill,NC,27517,937500,3,3.5,Meadowmont,2976,,2016,799,315,326,Sold,,,http://www.redfin.com/NC/Chapel-Hill/211-Meadowmont-Ln-27517/unit-1/home/161337021,TMLS,2027354,N,Y,35.907386,-79.0091419
PAST SALE,June-15-2018,Townhouse,217 Meadowmont Ln #4,Chapel Hill,NC,27517,870000,3,3.5,Meadowmont,2811,,2017,707,309,326,Sold,,,http://www.redfin.com/NC/Chapel-Hill/217-Meadowmont-Ln-27517/unit-4/home/60389405,TMLS,1980971,N,Y,35.907386,-79.0091419
PAST SALE,October-21-2019,Single Family Residential,1000 Mocker Nut Ln Lot 12,Chapel Hill,NC,27517,779417,4,4.0,South Grove,4009,21344,2019,214,194,78,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1000-Mocker-Nut-Ln-27517/unit-12/home/148526217,TMLS,2260792,N,Y,35.8653365,-79.0712534
PAST SALE,,Condo/Co-op,522 Cedar Club Cir #202,Chapel Hill,NC,27517,670000,2,2.0,,2457,,2005,,273,,,,,http://www.redfin.com/NC/Chapel-Hill/522-Cedar-Club-Cir-27517/unit-202/home/43598329,,,N,Y,35.90642,-79.0073186
PAST SALE,December-14-2019,Single Family Residential,62 Ruffed Grouse,Chapel Hill,NC,27517,702595,3,3.5,The Preserve at Jordan Lake,3300,21780,2018,160,213,83,Sold,,,http://www.redfin.com/NC/Chapel-Hill/62-Ruffed-Grouse-27517/home/41372909,TMLS,2216320,N,Y,35.774648,-79.06038
PAST SALE,January-30-2020,Single Family Residential,40 Wood Duck Ct,Chapel Hill,NC,27517,750000,4,4.5,The Preserve at Jordan Lake,5534,28314,2006,113,136,83,Sold,,,http://www.redfin.com/NC/Chapel-Hill/40-Wood-Duck-27517/home/41374801,TMLS,2259695,N,Y,35.7743418,-79.058547
PAST SALE,May-31-2019,Townhouse,201 Oval Park Pl,Chapel Hill,NC,27517,944500,3,5.0,Summit Park,4240,5662,2001,357,223,396,Sold,,,http://www.redfin.com/NC/Chapel-Hill/201-Oval-Park-Pl-27517/home/44409489,TMLS,2230095,N,Y,35.907421,-79.0138903
PAST SALE,October-25-2019,Single Family Residential,161 Leatherwood Ln,Chapel Hill,NC,27517,762500,5,4.0,Westfall,3953,45476,2018,210,193,120,Sold,,,http://www.redfin.com/NC/Chapel-Hill/161-Leatherwood-Ln-27517/home/41392730,TMLS,2171655,N,Y,35.8246734,-79.0563401
PAST SALE,November-20-2017,Single Family Residential,209 Copper Beech Ct,Chapel Hill,NC,27517-8115,705000,5,4.5,Beechridge,3828,45563,2016,914,184,17,Sold,,,http://www.redfin.com/NC/Chapel-Hill/209-Copper-Beech-Ct-27517/home/105416069,TMLS,2149258,N,Y,35.88766,-79.0537137
PAST SALE,August-7-2017,Single Family Residential,39422 Glenn Glade,Chapel Hill,NC,27517,775000,5,5.0,Governors Club,4102,43124,2010,1019,189,222,Sold,,,http://www.redfin.com/NC/Chapel-Hill/39422-Glenn-Glade-27517/home/41377404,TMLS,2058459,N,Y,35.8490057,-79.0554573
PAST SALE,May-6-2019,Single Family Residential,1125 Pinehurst Dr,Chapel Hill,NC,27517,1350000,5,4.5,Meadowmont,5935,20037,2007,382,227,40,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1125-Pinehurst-Dr-27517/home/44418931,TMLS,2240491,N,Y,35.9094341,-79.0163411
PAST SALE,May-3-2019,Townhouse,304 W Barbee Chapel Rd,Chapel Hill,NC,27517,751000,4,5.0,Meadowmont,3666,3920,2003,385,205,380,Sold,,,http://www.redfin.com/NC/Chapel-Hill/304-W-Barbee-Chapel-Rd-27517/home/44407485,TMLS,2241056,N,Y,35.9072894,-79.0142878
PAST SALE,January-31-2019,Townhouse,216 Oval Park Pl,Chapel Hill,NC,27517,1049000,3,5.5,Summit Park,5506,,2004,477,191,380,Sold,,,http://www.redfin.com/NC/Chapel-Hill/216-Oval-Park-Pl-27517/home/44409010,TMLS,2221601,N,Y,35.907705,-79.012848
PAST SALE,December-16-2019,Single Family Residential,10420 Stone,Chapel Hill,NC,27517,1050000,4,5.0,Governors Club,5538,54754,2008,158,190,269,Sold,,,http://www.redfin.com/NC/Chapel-Hill/10420-Stone-27517/home/41380278,TMLS,2277521,N,Y,35.8381511,-79.060434
PAST SALE,January-6-2020,Single Family Residential,20114 Scott,Chapel Hill,NC,27517,985000,3,3.0,Governors Club,6048,119790,2002,137,163,556,Sold,,,http://www.redfin.com/NC/Chapel-Hill/20114-Scott-27517/home/41382347,TMLS,2293701,N,Y,35.844546,-79.043574
PAST SALE,January-8-2020,Townhouse,225 Meadowmont Ln Unit C - lot 7,Chapel Hill,NC,27517,750000,3,3.5,Meadowmont,2400,,2019,135,313,449,Sold,,,http://www.redfin.com/NC/Chapel-Hill/225-Meadowmont-Ln-27517/unit-C-lot-7/home/148534954,TMLS,2228829,N,Y,35.907937,-79.0088987
PAST SALE,January-7-2020,Townhouse,305 Circle Park Pl,Chapel Hill,NC,27517-8164,860000,4,5.5,Summit Park,4037,,2005,136,213,396,Sold,,,http://www.redfin.com/NC/Chapel-Hill/305-Circle-Park-Pl-27517/home/44420529,TMLS,2234974,N,Y,35.9088068,-79.0129698
