sale type,sold dat,property type,address,city,state,ZIP OR POSTAL CODE,zipcode,price,beds,baths,location,square feet,lot size,year built,days on market,dollar per square feet,hoa per moth,status,source,mls,favorite,interested,latitude,longitude
PAST SALE,August-27-2018,Single Family Residential,2 Lakehurst Ct,Durham,NC,27713,27713,338000,4,2.5,Lakehurst,3068,17293,1999,634,110,29,Sold,TMLS,2199607,N,Y,35.8939856,-78.9298024
PAST SALE,August-27-2018,Townhouse,1061 Midvale Ave #114,Morrisville,NC,27560,27560,365600,3,2.5,Wake,2126,2613,2018,634,172,108,Sold,TMLS,2167926,N,Y,35.8422827,-78.8479206
PAST SALE,August-27-2018,Single Family Residential,1002 Crescent Moon Ct,Durham,NC,27712,27712,490000,5,4,Valley Springs,3320,20037,2018,634,148,48,Sold,TMLS,2199859,N,Y,36.047662,-78.956871
PAST SALE,August-27-2019,Townhouse,3228 Ivey Wood Ln,Durham,NC,27703,27703,139000,2,2.5,Amberlynn Valley,1162,1045,2008,269,120,90,Sold,TMLS,2270802,N,Y,35.9703133,-78.8447341
PAST SALE,August-27-2019,Single Family Residential,709 Big Twig Ln,Durham,NC,27703,27703,210400,4,2.5,South Adams Park,1730,6534,2005,269,122,32,Sold,TMLS,2266595,N,Y,35.9832761,-78.8556709
PAST SALE,August-27-2019,Single Family Residential,709 Big Twig Ln,Durham,NC,27703,27703,210400,4,2.5,South Adams Park,1730,6534,2005,269,122,32,Sold,TMLS,2266595,N,Y,35.9832761,-78.8556709
PAST SALE,August-27-2019,Single Family Residential,105 Morning View Ct,Durham,NC,27703,27703,240000,4,2.5,Grove Park,1731,13111,2003,269,139,52,Sold,TMLS,2269173,N,Y,35.9818833,-78.8005875
PAST SALE,August-27-2019,Townhouse,340 View Dr,Morrisville,NC,27560,27560,285000,2,2.5,Wake,1837,1742,2017,269,155,135,Sold,TMLS,2267687,N,Y,35.8143482,-78.8191044
PAST SALE,August-27-2019,Single Family Residential,102 Waxwing Dr,Durham,NC,27704,27704,285000,4,2.5,Cardinal Oaks,2519,6534,2016,269,113,38,Sold,TMLS,2261408,N,Y,36.0187721,-78.8174034
PAST SALE,August-27-2019,Single Family Residential,5201 Grandhaven Dr,Durham,NC,27713,27713,352000,4,3,Grandale Place,2729,10890,2002,269,129,21,Sold,TMLS,2269391,N,Y,35.8896392,-78.9199621
PAST SALE,August-27-2019,Single Family Residential,1209 Caribou Xing,Durham,NC,27713,27713,390000,4,2.5,Huntington Ridge,3002,9583,2002,269,130,55,Sold,TMLS,2265658,N,Y,35.8926894,-78.9441165
PAST SALE,August-28-2017,Townhouse,238 Linden Park Ln,Cary,NC,27519,27519,237000,3,3.5,Legacy at Carpenter Village,2000,1742,2008,998,119,155,Sold,TMLS,2141521,N,Y,35.8304436,-78.8601714
PAST SALE,August-28-2017,Single Family Residential,107 Sierra Ct,Durham,NC,27704,27704,294000,4,2.5,Lake Ridge,2530,73659,2001,998,116,26,Sold,TMLS,2127456,N,Y,36.0590898,-78.788372
PAST SALE,August-28-2017,Single Family Residential,220 Landreth Ct,Durham,NC,27713,27713,320000,4,3,Lakehurst Pointe,2540,16988,2000,998,126,38,Sold,TMLS,2134103,N,Y,35.8948711,-78.9244485
PAST SALE,August-28-2017,Single Family Residential,1916 Grace Point Rd,Morrisville,NC,27560,27560,410000,4,2.5,Providence Place,3268,8712,2008,998,125,49,Sold,TMLS,2136637,N,Y,35.8535792,-78.8454087
PAST SALE,August-28-2017,Single Family Residential,98 Triton Walk Way,Chapel Hill,NC,27517,27517,479990,4,3.5,Legend Oaks,3534,40946,2016,998,136,46,Sold,TMLS,2069958,N,Y,35.841256,-79.07222
PAST SALE,August-28-2018,Single Family Residential,1814 Raj Dr,Durham,NC,27703,27703,220262,3,2.5,Meadows Of Pagehurst,1625,4356,2003,633,136,23,Sold,TMLS,2203589,N,Y,35.921751,-78.8173591
PAST SALE,August-28-2018,Single Family Residential,1814 Raj Dr,Durham,NC,27703,27703,220262,3,2.5,Meadows Of Pagehurst,1625,4356,2003,633,136,23,Sold,TMLS,2203589,N,Y,35.921751,-78.8173591
PAST SALE,August-28-2018,Townhouse,10017 David Stone Dr,Chapel Hill,NC,27517,27517,225000,2,2.5,Governors Village Townhomes,1448,2265,2004,633,155,189,Sold,TMLS,2202136,N,Y,35.8552452,-79.0231964
PAST SALE,August-28-2018,Townhouse,137 Zante Currant Rd,Durham,NC,27703,27703,238791,3,2.5,Durham,1694,2613,2018,633,141,132,Sold,TMLS,2152137,N,Y,35.9450475,-78.8722771
PAST SALE,August-28-2018,Single Family Residential,119 Woodtrellis Ct,Durham,NC,27703,27703,252500,3,2.5,Ravenstone,2230,13242,2005,633,113,49,Sold,TMLS,2203660,N,Y,35.9716889,-78.7926653
PAST SALE,August-28-2018,Townhouse,205 Zante Currant Rd,Durham,NC,27703,27703,259785,3,2.5,Durham,1820,3484,2018,633,143,132,Sold,TMLS,2192988,N,Y,35.9452487,-78.8723063
PAST SALE,August-28-2018,Townhouse,205 Zante Currant Rd,Durham,NC,27703,27703,259785,3,2.5,Durham,1820,3484,2018,633,143,132,Sold,TMLS,2192988,N,Y,35.9452487,-78.8723063
PAST SALE,August-28-2018,Single Family Residential,124 Windrush Ln,Durham,NC,27703,27703,315000,5,3.5,Ashton Hall,3152,7840,2012,633,100,60,Sold,TMLS,2207664,N,Y,35.9581855,-78.8283985
PAST SALE,August-28-2018,Townhouse,1116 Lakebrink Dr #109,Morrisville,NC,27560,27560,399193,4,3,Wake,2140,2613,2018,633,187,108,Sold,TMLS,2217260,N,Y,35.8426418,-78.8480169
