SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-2-2017,Single Family Residential,3901 Kettering Dr,Durham,NC,27713-8030,249900,4,2.5,Hope Valley Farms,2188,10759,1991,1024,114,20,Sold,,,http://www.redfin.com/NC/Durham/3901-Kettering-Dr-27713/home/43556475,TMLS,2137080,N,Y,35.9345793,-78.9339732
PAST SALE,May-31-2017,Single Family Residential,7 Kilary Dr,Durham,NC,27713-9666,290000,4,2.5,Hope Valley Farms,2460,12763,1995,1087,118,26,Sold,,,http://www.redfin.com/NC/Durham/7-Kilary-Dr-27713/home/43556914,TMLS,2119117,N,Y,35.9357686,-78.9319683
PAST SALE,December-4-2017,Single Family Residential,4705 Carlton Crossing Dr,Durham,NC,27713,298000,4,2.5,Hope Valley Farms,2594,10236,2000,900,115,25,Sold,,,http://www.redfin.com/NC/Durham/4705-Carlton-Crossing-Dr-27713/home/43604465,TMLS,2137473,N,Y,35.93993,-78.935451
PAST SALE,,Single Family Residential,8029 Rosemont Pkwy,Durham,NC,27713,210000,4,3.5,,3395,6839,2014,,62,,,,,http://www.redfin.com/NC/Durham/8029-Rosemont-Pkwy-27713/home/57111020,,,N,Y,35.8770668,-78.926769
PAST SALE,October-13-2017,Single Family Residential,102 Covewood Ct,Durham,NC,27713,276000,4,2.5,Grandale Forest,2012,11979,1993,952,137,,Sold,,,http://www.redfin.com/NC/Durham/102-Covewood-Ct-27713/home/43557353,TMLS,2147955,N,Y,35.8942955,-78.9225072
PAST SALE,December-29-2017,Townhouse,401 Intern Way,Durham,NC,27713,226000,4,2.5,Chancellors Ridge,1901,174,2002,875,119,187,Sold,,,http://www.redfin.com/NC/Durham/401-Intern-Way-27713/home/43586942,TMLS,2160834,N,Y,35.8788594,-78.9515173
PAST SALE,September-22-2017,Single Family Residential,107 Oliver Ln,Durham,NC,27713,189500,4,2.0,Parkwood,1942,12632,1966,973,98,19,Sold,,,http://www.redfin.com/NC/Durham/107-Oliver-Ln-27713/home/43560807,TMLS,2138180,N,Y,35.8891972,-78.9079826
PAST SALE,August-30-2017,Single Family Residential,206 Fallenwood Ave,Durham,NC,27713,241000,4,2.5,Hope Valley Farms,2127,8232,1997,996,113,25,Sold,,,http://www.redfin.com/NC/Durham/206-Fallenwood-Ave-27713/home/43555458,TMLS,2134727,N,Y,35.9353375,-78.919078
PAST SALE,July-27-2017,Single Family Residential,5006 Gaithers Pointe Dr,Durham,NC,27713,259000,4,2.5,Hope Valley Farms,1830,6969,2000,1030,142,25,Sold,,,http://www.redfin.com/NC/Durham/5006-Gaithers-Pointe-Dr-27713/home/43604187,TMLS,2135938,N,Y,35.9394332,-78.930128
PAST SALE,July-6-2017,Single Family Residential,4416 Dolwick Dr,Durham,NC,27713,220000,4,2.0,Hope Valley Farms,1468,5227,1998,1051,150,25,Sold,,,http://www.redfin.com/NC/Durham/4416-Dolwick-Dr-27713/home/43587320,TMLS,2134327,N,Y,35.9408202,-78.9260618
