SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-8-2019,Townhouse,361 Kilarney Dr,Durham,NC,27703,96000,2,1.5,Scotland Manor,1178,1393,1985,288,81,60,Sold,,,http://www.redfin.com/NC/Durham/361-Kilarney-Dr-27703/home/43544368,TMLS,2268928,N,Y,35.9915521,-78.8432743
PAST SALE,July-10-2017,Single Family Residential,1716 Ed Cook Rd,Durham,NC,27703,79007,2,2.0,Durham,1101,31624,1935,1047,72,,Sold,,,http://www.redfin.com/NC/Durham/1716-Ed-Cook-Rd-27703/home/43558956,TMLS,2119742,N,Y,35.945993,-78.875175
PAST SALE,,Single Family Residential,608 N Driver St,Durham,NC,27703,85000,2,1.0,,1076,7667,1930,,79,,,,,http://www.redfin.com/NC/Durham/608-N-Driver-St-27703/home/43527231,,,N,Y,35.9918856,-78.878478
PAST SALE,,Single Family Residential,2604 Ashe St,Durham,NC,27703,70000,4,1.0,,1190,7187,1952,,59,,,,,http://www.redfin.com/NC/Durham/2604-Ashe-St-27703/home/43531433,,,N,Y,35.9813985,-78.8710947
PAST SALE,,Single Family Residential,708 Bernice St,Durham,NC,27703,50000,3,1.0,,888,7536,1951,,56,,,,,http://www.redfin.com/NC/Durham/708-Bernice-St-27703/home/43534860,,,N,Y,35.977101,-78.8857436
PAST SALE,,Single Family Residential,214 N Hyde Park Ave,Durham,NC,27703,55000,3,1.0,,999,8015,1921,,55,,,,,http://www.redfin.com/NC/Durham/214-N-Hyde-Park-Ave-27703/home/43530757,,,N,Y,35.9875483,-78.881587
PAST SALE,,Single Family Residential,2737 Marlin Dr,Durham,NC,27703,99000,3,2.0,,1040,8756,1987,,95,,,,,http://www.redfin.com/NC/Durham/2737-Marlin-Dr-27703/home/43535526,,,N,Y,35.9853238,-78.8663301
PAST SALE,,Single Family Residential,1207 N Guthrie Ave,Durham,NC,27703,60000,2,1.0,,1101,15159,1949,,54,,,,,http://www.redfin.com/NC/Durham/1207-N-Guthrie-Ave-27703/home/43530866,,,N,Y,35.9979508,-78.8746111
PAST SALE,,Multi-Family (2-4 Unit),110 S Hyde Park Ave,Durham,NC,27703,80000,4,2.0,,1952,13547,1900,,41,,,,,http://www.redfin.com/NC/Durham/110-S-Hyde-Park-Ave-27703/home/43526051,,,N,Y,35.9845679,-78.8821047
PAST SALE,June-7-2017,Single Family Residential,113 Scheer Ave,Durham,NC,27703,98000,3,2.0,Bavarian Village,1138,35240,1997,1080,86,,Sold,,,http://www.redfin.com/NC/Durham/113-Scheer-Ave-27703/home/43565500,TMLS,2119124,N,Y,35.9622685,-78.8135094
