sale type,sold dat,property type,address,city,state,ZIP OR POSTAL CODE,zipcode,price,beds,baths,location,square feet,lot size,year built,days on market,dollar per square feet,hoa per moth,status,source,mls,favorite,interested,latitude,longitude
PAST SALE,June-29-2017,Single Family Residential,350 Callandale Ln,Durham,NC,27703,27703,310000,5,3.5,Ashton Hall,3358,17380,2013,1058,92,60,Sold,TMLS,2130457,N,Y,35.9588923,-78.830619
PAST SALE,June-29-2017,Single Family Residential,6515 Glen Forest Dr,Chapel Hill,NC,27517,27517,326500,3,2,Falconbridge,1900,21910,1995,1058,172,75,Sold,TMLS,2119421,N,Y,35.904131,-78.982958
PAST SALE,June-29-2017,Single Family Residential,211 Crescendo Dr,Morrisville,NC,27560,27560,379900,4,2.5,Breckenridge,2703,7405,2001,1058,141,40,Sold,TMLS,2119639,N,Y,35.8381808,-78.8597843
PAST SALE,June-29-2017,Single Family Residential,20036 Webb,Chapel Hill,NC,27517,27517,404000,3,2.5,Governors Village,2150,10018,2004,1058,188,43,Sold,TMLS,2122087,N,Y,35.8562844,-79.0226004
PAST SALE,June-29-2017,Single Family Residential,1 Bonsack Ct,Durham,NC,27703,27703,410130,4,3.5,The Glen,2854,16204,2017,1058,144,88,Sold,TMLS,2105431,N,Y,35.950128,-78.8310512
PAST SALE,June-29-2017,Single Family Residential,1914 Pattersons Mill Rd,Durham,NC,27703,27703,425883,4,3,The Glen,3150,16117,2017,1058,135,88,Sold,TMLS,2105457,N,Y,35.950062,-78.831909
PAST SALE,June-29-2017,Single Family Residential,63 Victory Park Dr,Chapel Hill,NC,27517,27517,449500,5,4,Legend Oaks,3452,44431,2016,1058,130,46,Sold,TMLS,2054085,N,Y,35.842533,-79.0755169
PAST SALE,June-29-2017,Single Family Residential,166 Swan Lake Ct,Chapel Hill,NC,27517,27517,465000,3,2.5,The Preserve at Jordan Lake,2642,17075,2003,1058,176,83,Sold,TMLS,2123654,N,Y,35.7667052,-79.0554352
PAST SALE,June-29-2017,Single Family Residential,76525 Rice,Chapel Hill,NC,27517,27517,562500,4,3.5,Governors Club,3506,9496,2006,1058,160,397,Sold,TMLS,2106432,N,Y,35.8432663,-79.0362765
PAST SALE,June-29-2017,Single Family Residential,2557 Bittersweet Dr #199,Durham,NC,27705,27705,752982,4,4.5,Croasdaile Farm,4021,34630,2017,1058,187,39,Sold,TMLS,2104983,N,Y,36.0508577,-78.943983
