,sale.type,sold.dat,property.type,address,city,state,ZIP.OR.POSTAL.CODE,zipcode,price,beds,baths,location,square.feet,lot.size,year.built,days.on.market,dollar.per.square.feet,hoa.per.moth,status,source,mls,favorite,interested,latitude,longitude,census_code,census_mid
1,PAST SALE,July-20-2018,Townhouse,1213 Corwith Dr,Morrisville,NC,27560,27560,284000,3,2.5,McCrimmon at the Park,1742,2613,2009,672,163,91,Sold,TMLS,2191153,N,Y,35.8371325,-78.8594858,371830536021051,37183053602
2,PAST SALE,July-20-2018,Single Family Residential,364 Indian Branch Dr,Morrisville,NC,27560,27560,300000,4,2.5,Downing Glen,1750,6969,2002,672,171,32,Sold,TMLS,2195729,N,Y,35.8264075,-78.8355385,371830536071097,37183053607
3,PAST SALE,July-20-2018,Single Family Residential,364 Indian Branch Dr,Morrisville,NC,27560,27560,300000,4,2.5,Downing Glen,1750,6969,2002,672,171,32,Sold,TMLS,2195729,N,Y,35.8264075,-78.8355385,371830536071097,37183053607
4,PAST SALE,July-20-2018,Single Family Residential,219 Rope Walk Ct,Morrisville,NC,27560,27560,316000,3,2.5,Twin Lake,1811,5227,2007,672,174,70,Sold,TMLS,2200643,N,Y,35.8288938,-78.8400909,371830536071053,37183053607
5,PAST SALE,July-20-2018,Single Family Residential,1127 Timbercut Dr,Durham,NC,27703,27703,348871,4,3.5,Durham,3077,5227,2018,672,113,75,Sold,TMLS,2185235,N,Y,35.926733,-78.775929,370630019001025,37063001900
6,PAST SALE,July-20-2018,Townhouse,4353 Pond Pine Trl,Morrisville,NC,27560,27560,357240,4,3.5,Phillips Place,2626,2613,2018,672,136,130,Sold,TMLS,2162750,N,Y,35.8327959,-78.8740774,371830536021028,37183053602
7,PAST SALE,July-20-2018,Single Family Residential,420 Willingham Rd,Morrisville,NC,27560,27560,424500,5,3.5,Breckenridge,3616,7405,2004,672,117,40,Sold,TMLS,2194248,N,Y,35.8449198,-78.8652686,371830536021015,37183053602
8,PAST SALE,July-20-2018,Single Family Residential,183 Gallup Rd,Chapel Hill,NC,27517,27517,512000,4,4,Big Woods Hills,3863,190052,2005,672,133,9,Sold,TMLS,2187780,N,Y,35.7922905,-79.0310888,370370201042006,37037020104
9,PAST SALE,July-20-2018,Single Family Residential,579 Mountain Laurel Ct,Chapel Hill,NC,27517,27517,540000,5,4.5,The Preserve at Jordan Lake,4105,17859,2006,672,132,83,Sold,TMLS,2170087,N,Y,35.7818393,-79.0631374,370370201042003,37037020104
10,PAST SALE,July-21-2017,Single Family Residential,2807 Bombay Dr,Durham,NC,27703,27703,176750,4,2,Pagehurst,1715,4356,2002,1036,103,22,Sold,TMLS,2129614,N,Y,35.9242978,-78.8171821,370630020281002,37063002028
11,PAST SALE,July-21-2017,Single Family Residential,418 Magna Dr,Durham,NC,27703,27703,188500,3,2.5,Ridgefield,2210,5619,2006,1036,85,18,Sold,TMLS,2129635,N,Y,36.0058569,-78.8112969,370630018062074,37063001806
12,PAST SALE,July-21-2017,Townhouse,1305 Grace Point Rd,Morrisville,NC,27560-6119,27560,192500,3,2.5,Shiloh Grove,1283,1742,2012,1036,150,115,Sold,TMLS,2134213,N,Y,35.850506,-78.847217,371830536081026,37183053608
13,PAST SALE,July-21-2017,Townhouse,120 Holly Berry Ln,Durham,NC,27703,27703,197000,4,3,Rustica Oaks,1911,2613,2014,1036,103,138,Sold,TMLS,2135450,N,Y,35.9480667,-78.8816313,370630020271014,37063002027
14,PAST SALE,July-21-2017,Townhouse,116 Churment Ct,Durham,NC,27703,27703,218885,3,2.5,Durham,1694,2613,2017,1036,129,120,Sold,TMLS,2118689,N,Y,35.9463383,-78.8695057,370630020271022,37063002027
15,PAST SALE,July-21-2017,Townhouse,116 Churment Ct,Durham,NC,27703,27703,218885,3,2.5,Durham,1694,2613,2017,1036,129,120,Sold,TMLS,2118689,N,Y,35.9463383,-78.8695057,370630020271022,37063002027
16,PAST SALE,July-21-2017,Single Family Residential,2136 Scarlet Sage Dr,Durham,NC,27704,27704,226000,4,2.5,Cardinal Lake,2465,6359,2013,1036,92,60,Sold,TMLS,2128389,N,Y,36.0152253,-78.8122704,370630018062022,37063001806
17,PAST SALE,July-21-2017,Single Family Residential,5617 Running Fox Ln,Durham,NC,27703,27703,227000,3,2.5,Bennington,2041,6403,2005,1036,111,23,Sold,TMLS,2134873,N,Y,35.9315071,-78.7554359,370630019002078,37063001900
18,PAST SALE,July-21-2017,Single Family Residential,2062 October Dr,Durham,NC,27705,27705,244000,3,2.5,Hanover Pointe,1954,5662,2015,1036,125,40,Sold,TMLS,2129154,N,Y,35.9649146,-78.8364721,370630018082041,37063001808
19,PAST SALE,July-21-2017,Single Family Residential,14 Ballard Ct,Durham,NC,27712,27712,249900,4,2.5,Dover Ridge,2125,11325,2001,1036,118,14,Sold,TMLS,2129576,N,Y,36.089077,-78.9265922,370630016032032,37063001603
20,PAST SALE,July-21-2017,Townhouse,1204 Great Egret Way,Durham,NC,27713,27713,300749,4,3.5,Durham,2264,2613,2017,1036,133,110,Sold,TMLS,2114054,N,Y,35.8907732,-78.9587551,370630020201003,37063002020
21,PAST SALE,July-21-2017,Single Family Residential,5 Silverton Ct,Durham,NC,27713,27713,341250,4,2.5,Westridge,3173,17206,1987,1036,108,18,Sold,TMLS,2131988,N,Y,35.9180877,-78.9338467,370630020232000,37063002023
22,PAST SALE,July-21-2017,Single Family Residential,100 Braden Ct,Durham,NC,27713-9502,27713,350000,4,2.5,Fairfield,2832,12196,1990,1036,124,55,Sold,TMLS,2123396,N,Y,35.8794849,-78.9308884,370630020202022,37063002020
23,PAST SALE,July-21-2017,Single Family Residential,100 Braden Ct,Durham,NC,27713-9502,27713,350000,4,2.5,Fairfield,2832,12196,1990,1036,124,55,Sold,TMLS,2123396,N,Y,35.8794849,-78.9308884,370630020202022,37063002020
24,PAST SALE,July-21-2017,Single Family Residential,6 Pointe View Ct,Durham,NC,27713,27713,360000,4,2.5,Woodcroft,2835,15246,1986,1036,127,18,Sold,TMLS,2124895,N,Y,35.9198489,-78.9363707,370630020232000,37063002023
25,PAST SALE,July-21-2017,Single Family Residential,1203 Rocky Point Ln,Durham,NC,27712,27712,425000,4,3.5,Treyburn,3916,20473,1990,1036,109,46,Sold,TMLS,2128776,N,Y,36.1223843,-78.8679222,370630021001086,37063002100
26,PAST SALE,July-21-2017,Single Family Residential,18 Little Bend Ct,Chapel Hill,NC,27517,27517,465000,5,4,Legend Oaks,4197,48220,2012,1036,111,46,Sold,TMLS,2111695,N,Y,35.8441887,-79.0784295,370370201031010,37037020103
27,PAST SALE,July-21-2017,Single Family Residential,4609 Sycamore Shoals Rd,Durham,NC,27705-6456,27705,500000,4,3.5,Colony at American Village,3842,16988,2005,1036,130,22,Sold,TMLS,2130558,N,Y,36.0234811,-78.9746468,370630017061003,37063001706
28,PAST SALE,July-21-2017,Single Family Residential,125 Edgewood Dr,Durham,NC,27713,27713,550000,4,3.5,Colvard Farms,3425,13068,2006,1036,161,133,Sold,TMLS,2121601,N,Y,35.8649601,-78.9603986,370370207011030,37037020701
29,PAST SALE,July-22-2019,Townhouse,350 Plaza Dr Unit A,Chapel Hill,NC,27517,27517,191500,2,2.5,Cole Plaza,1463,2788,2007,305,131,95,Sold,TMLS,2261765,N,Y,35.8454182,-79.0857657,370370201031010,37037020103
30,PAST SALE,July-22-2019,Condo/Co-op,5 Waltham Pl #5,Chapel Hill,NC,27517-8638,27517,192500,3,3,Falconbridge Townhomes,1630,2178,1980,305,118,272,Sold,TMLS,2219603,N,Y,35.909124,-78.988417,370630020193003,37063002019
31,PAST SALE,July-22-2019,Single Family Residential,403 Chadbourne Dr,Durham,NC,27703,27703,200000,3,2.5,Greycliff,1657,10933,1995,305,121,15,Sold,TMLS,2261050,N,Y,35.989681,-78.8299006,370630018073016,37063001807
32,PAST SALE,July-22-2019,Single Family Residential,403 Chadbourne Dr,Durham,NC,27703,27703,200000,3,2.5,Greycliff,1657,10933,1995,305,121,15,Sold,TMLS,2261050,N,Y,35.989681,-78.8299006,370630018073016,37063001807
33,PAST SALE,July-22-2019,Single Family Residential,403 Chadbourne Dr,Durham,NC,27703,27703,200000,3,2.5,Greycliff,1657,10933,1995,305,121,15,Sold,TMLS,2261050,N,Y,35.989681,-78.8299006,370630018073016,37063001807
34,PAST SALE,July-22-2019,Townhouse,208 Spring Flower Ln,Durham,NC,27703-7614,27703,230000,3,2.5,Brightleaf,1612,1306,2016,305,143,177,Sold,TMLS,2257885,N,Y,35.947739,-78.8134257,370630018082074,37063001808
35,PAST SALE,July-22-2019,Townhouse,208 Spring Flower Ln,Durham,NC,27703-7614,27703,230000,3,2.5,Brightleaf,1612,1306,2016,305,143,177,Sold,TMLS,2257885,N,Y,35.947739,-78.8134257,370630018082074,37063001808
36,PAST SALE,July-22-2019,Single Family Residential,508 Hillview Dr,Durham,NC,27703-9637,27703,290000,4,3,Ravenstone,3089,11761,2005,305,94,49,Sold,TMLS,2249574,N,Y,35.9701174,-78.793816,370630018082006,37063001808
37,PAST SALE,July-22-2019,Single Family Residential,456 Jerome Rd,Durham,NC,27713,27713,298000,4,2.5,Emorywood,2465,7623,2010,305,121,25,Sold,TMLS,2250995,N,Y,35.9426987,-78.892995,370630020262004,37063002026
38,PAST SALE,July-22-2019,Single Family Residential,319 Wellwater Ave,Durham,NC,27703,27703,324000,4,3,Sherron Farms,2578,6403,2017,305,126,55,Sold,TMLS,2262556,N,Y,35.9672879,-78.7923112,370630018082004,37063001808
39,PAST SALE,July-22-2019,Single Family Residential,1009 Tamarisk Ln,Durham,NC,27703,27703,408755,4,3,Durham,2795,8712,2019,305,146,245,Sold,TMLS,2232694,N,Y,35.9425009,-78.790842,370630019001014,37063001900
40,PAST SALE,July-22-2019,Single Family Residential,1928 Pattersons Mill Rd,Durham,NC,27703,27703,440000,5,4,Brightleaf,3554,10890,2017,305,124,88,Sold,TMLS,2259839,N,Y,35.9491162,-78.8300134,370630018082095,37063001808
41,PAST SALE,July-22-2019,Single Family Residential,1809 Glade Valley Ln,Morrisville,NC,27560,27560,450000,5,4,Kitts Creek,3757,8712,2007,305,120,66,Sold,TMLS,2260627,N,Y,35.8598523,-78.8580594,371830536081002,37183053608
42,PAST SALE,July-22-2019,Single Family Residential,30138 Village Park Dr,Chapel Hill,NC,27517,27517,474000,4,4,Governors Park,3274,11761,2000,305,145,91,Sold,TMLS,2258654,N,Y,35.8483607,-79.0280644,370370201031030,37037020103
43,PAST SALE,July-22-2019,Single Family Residential,708 Adeline Ct,Durham,NC,27713,27713,492500,4,3,Durham,3268,6272,2019,305,151,75,Sold,TMLS,2231499,N,Y,35.8920937,-78.9316007,370630020202002,37063002020
44,PAST SALE,July-22-2019,Single Family Residential,105 Umbrio Ln,Chapel Hill,NC,27517,27517,817000,6,6,Orange,5656,44866,1994,305,144,58,Sold,TMLS,2242796,N,Y,35.8874819,-79.0353052,371350122011006,37135012201
