SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-10-2019,Single Family Residential,916 Obsidian Way,Durham,NC,27703,193900,3,2.5,Stone Hill Estates,1423,9408,2005,347,136,13,Sold,,,http://www.redfin.com/NC/Durham/916-Obsidian-Way-27703/home/43600060,TMLS,2252590,N,Y,35.995811,-78.8250138
PAST SALE,November-30-2017,Single Family Residential,5117 Suda Dr,Durham,NC,27703,180000,3,2.5,Meadows Of Pagehurst,1450,2874,2007,904,124,22,Sold,,,http://www.redfin.com/NC/Durham/5117-Suda-Dr-27703/home/43606518,TMLS,2158488,N,Y,35.9228909,-78.8166313
PAST SALE,July-19-2017,Single Family Residential,901 Danbury Dr,Durham,NC,27703,178900,3,2.0,Fletcher Hills,1495,30187,1976,1038,120,,Sold,,,http://www.redfin.com/NC/Durham/901-Danbury-Dr-27703/home/43593554,TMLS,2131708,N,Y,35.9691989,-78.8252461
PAST SALE,July-31-2017,Townhouse,102 Harvest Oaks Ln #23,Durham,NC,27703,184095,3,2.5,Ganyard Farm,1401,1306,2017,1026,131,55,Sold,,,http://www.redfin.com/NC/Durham/102-Harvest-Oaks-Ln-27703/unit-23/home/161169924,TMLS,2121992,N,Y,35.98177,-78.832382
PAST SALE,August-3-2017,Single Family Residential,10 N Indian Creek Pl,Durham,NC,27703,175000,3,2.0,Marbrey Landing,1353,10018,1998,1023,129,12,Sold,,,http://www.redfin.com/NC/Durham/10-N-Indian-Creek-Pl-27703/home/43569001,TMLS,2135162,N,Y,35.9901237,-78.8033756
PAST SALE,August-10-2017,Townhouse,324 Westgrove Ct,Durham,NC,27703,193500,3,2.5,Brier Village,1468,2134,2010,1016,132,133,Sold,,,http://www.redfin.com/NC/Durham/324-Westgrove-Ct-27703/home/43612853,TMLS,2142623,N,Y,35.9213231,-78.8176135
PAST SALE,,Townhouse,5313 Dilbagh Dr,Durham,NC,27703,175000,3,2.5,,1604,3311,2003,,109,,,,,http://www.redfin.com/NC/Durham/5313-Dilbagh-Dr-27703/home/43596864,,,N,Y,35.9242465,-78.8139519
PAST SALE,December-18-2017,Single Family Residential,527 N Mineral Springs Rd,Durham,NC,27703,175000,3,2.0,Ivanhoe,1492,16901,1984,886,117,,Sold,,,http://www.redfin.com/NC/Durham/527-N-Mineral-Springs-Rd-27703/home/43604925,TMLS,2159008,N,Y,35.9902749,-78.8183768
PAST SALE,November-29-2017,Townhouse,102 Harvest Oaks Ln #80,Durham,NC,27703,187820,3,2.5,Ganyard Farm,1441,1306,2017,905,130,75,Sold,,,http://www.redfin.com/NC/Durham/102-Harvest-Oaks-Ln-27703/unit-80/home/43607682,TMLS,2154269,N,Y,35.98177,-78.832382
PAST SALE,October-4-2017,Single Family Residential,3 Eddy Trl,Durham,NC,27703,179900,3,2.0,Foxwood Manor,1447,6534,2010,961,124,42,Sold,,,http://www.redfin.com/NC/Durham/3-Eddy-Trl-27703/home/43613421,TMLS,2141024,N,Y,35.9543889,-78.8715044
