SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-8-2017,Townhouse,178 Finsbury St,Durham,NC,27703,275000,2,3.5,Davis Park,1965,1742,2008,926,140,170,Sold,,,http://www.redfin.com/NC/Durham/178-Finsbury-St-27703/home/43609056,TMLS,2153721,N,Y,35.8831122,-78.8653463
PAST SALE,June-30-2017,Single Family Residential,206 Rosedale Creek Dr,Durham,NC,27703,266000,2,2.0,Carolina Arbors,1264,5401,2014,1057,210,174,Sold,,,http://www.redfin.com/NC/Durham/206-Rosedale-Creek-Dr-27703/home/65111926,TMLS,2117615,N,Y,35.927245,-78.7873097
PAST SALE,June-15-2018,Townhouse,138 Finsbury St,Durham,NC,27703,272000,2,3.5,Davis Park,1842,2221,2007,707,148,167,Sold,,,http://www.redfin.com/NC/Durham/138-Finsbury-St-27703/home/43607718,TMLS,2187949,N,Y,35.8834438,-78.8649038
PAST SALE,June-26-2018,Townhouse,180 Finsbury St,Durham,NC,27703,250000,2,3.5,Davis Park,1600,871,2008,696,156,167,Sold,,,http://www.redfin.com/NC/Durham/180-Finsbury-St-27703/home/43609577,TMLS,2187200,N,Y,35.8830431,-78.8653425
PAST SALE,June-15-2018,Condo/Co-op,300 Finsbury St #100,Durham,NC,27703,255000,2,2.0,Davis Park,1645,,2008,707,155,310,Sold,,,http://www.redfin.com/NC/Durham/300-Finsbury-St-27703/unit-100/home/43610793,TMLS,2187605,N,Y,35.8822838,-78.8652023
PAST SALE,July-31-2017,Single Family Residential,150 Rosedale Creek Dr,Durham,NC,27703,265000,2,2.0,Carolina Arbors,1364,5140,2014,1026,194,174,Sold,,,http://www.redfin.com/NC/Durham/150-Rosedale-Creek-Dr-27703/home/65111935,TMLS,2130142,N,Y,35.9272331,-78.7862917
PAST SALE,March-6-2020,Single Family Residential,609 N Hyde Park Ave,Durham,NC,27703,262000,2,2.0,Hyde Park,1256,7448,1925,77,209,,Sold,,,http://www.redfin.com/NC/Durham/609-N-Hyde-Park-Ave-27703/home/162837738,TMLS,2286260,N,Y,35.9920633,-78.8821455
PAST SALE,,Single Family Residential,1905 Ashe St,Durham,NC,27703,265000,2,1.0,,1016,6011,1930,,261,,,,,http://www.redfin.com/NC/Durham/1905-Ashe-St-27703/home/43527601,,,N,Y,35.9836284,-78.8800205
PAST SALE,March-4-2020,Townhouse,110 Kingsley Woods Dr,Durham,NC,27703,250000,2,2.0,Kingsley Woods,1877,3179,1995,79,133,115,Sold,,,http://www.redfin.com/NC/Durham/110-Kingsley-Woods-Dr-27703/home/43563556,TMLS,2291377,N,Y,35.9302916,-78.8166684
PAST SALE,November-29-2018,Townhouse,1036 Carraway Ln Lot 400,Durham,NC,27703,274042,2,2.0,Durham,1332,4791,2018,540,206,259,Sold,,,http://www.redfin.com/NC/Durham/1036-Carraway-Ln-27703/unit-400/home/146449957,TMLS,2207319,N,Y,35.905576,-78.828805
PAST SALE,June-7-2019,Single Family Residential,424 Farintosh Valley Ln Unit CA LOT 162,Durham,NC,27703,260000,2,2.0,Carolina Arbors,1209,4878,2019,350,215,193,Sold,,,http://www.redfin.com/NC/Durham/424-Fairintosh-Valley-Ln-27703/unit-CA-LOT-162/home/160821227,TMLS,2245093,N,Y,35.9291368,-78.7847761
PAST SALE,April-17-2020,Single Family Residential,2821 Ellis Rd,Durham,NC,27703,270000,2,2.0,Durham,1671,60984,1953,35,162,,Sold,,,http://www.redfin.com/NC/Durham/2821-Ellis-Rd-27703/home/43563882,TMLS,2305430,N,Y,35.9422865,-78.8427545
PAST SALE,June-21-2019,Townhouse,1104 Twain Trl #403,Durham,NC,27703,269609,2,2.0,Durham,1358,4791,2018,336,199,279,Sold,,,http://www.redfin.com/NC/Triangle/1104-Twain-Trl-27703/unit-403/home/148436069,TMLS,2237876,N,Y,35.905159,-78.828861
PAST SALE,February-20-2020,Townhouse,1014 Carraway Ln,Durham,NC,27703-0356,270000,2,2.0,Durham,1337,,2019,92,202,294,Sold,,,http://www.redfin.com/NC/Durham/1014-Carraway-Ln-27703/home/147232753,TMLS,2280520,N,Y,35.906002,-78.82771
PAST SALE,December-20-2018,Single Family Residential,213 N Guthrie Ave,Durham,NC,27703,270000,2,2.0,Durham,1596,15420,1925,519,169,,Sold,,,http://www.redfin.com/NC/Durham/213-N-Guthrie-Ave-27703/home/43528191,TMLS,2224664,N,Y,35.9877968,-78.8765655
PAST SALE,,Townhouse,176 Finsbury St,Durham,NC,27703,270000,3,3.5,,1712,1699,2009,,158,,,,,http://www.redfin.com/NC/Durham/176-Finsbury-St-27703/home/43609013,,,N,Y,35.8828203,-78.8656556
PAST SALE,January-11-2019,Single Family Residential,507 Park Ave,Durham,NC,27703,273500,2,2.0,Durham,1232,6969,1930,497,222,,Sold,,,http://www.redfin.com/NC/Durham/507-Park-Ave-27703/home/43527229,TMLS,2231407,N,Y,35.9909493,-78.877762
PAST SALE,January-22-2019,Townhouse,117 Finsbury St,Durham,NC,27703,275000,2,3.5,Davis Park,1853,1393,2006,486,148,167,Sold,,,http://www.redfin.com/NC/Durham/117-Finsbury-St-27703/home/43607210,TMLS,2227933,N,Y,35.882885,-78.864335
PAST SALE,,Single Family Residential,1006 White Bark Ln,Durham,NC,27703,262100,2,2.0,,1537,9540,2018,,171,,,,,http://www.redfin.com/NC/Durham/1006-White-Bark-Ln-27703/home/110075982,,,N,Y,35.9415715,-78.7877298
PAST SALE,March-30-2020,Townhouse,1221 Fitchie Pl #243,Durham,NC,27703,272989,2,2.5,Durham,1892,1742,2019,53,144,155,Sold,,,http://www.redfin.com/NC/Durham/1221-Fitchie-Pl-27703/unit-243/home/170209693,TMLS,2294757,N,Y,35.945049,-78.860948
PAST SALE,July-15-2019,Single Family Residential,1414 Palmer Hill Dr,Durham,NC,27703,275000,2,2.0,Carolina Arbors,1289,5662,2015,312,213,193,Sold,,,http://www.redfin.com/NC/Durham/1414-Palmer-Hill-Dr-27703/home/103502000,TMLS,2250843,N,Y,35.9363564,-78.7841228
PAST SALE,September-18-2019,Single Family Residential,1516 Lathrop St,Durham,NC,27703,259000,2,2.0,Hillcrest,1276,6708,1920,247,203,,Sold,,,http://www.redfin.com/NC/Durham/1516-Lathrop-St-27703/home/43527917,TMLS,2249580,N,Y,35.9925981,-78.8745116
PAST SALE,July-30-2019,Single Family Residential,307 N Guthrie Ave,Durham,NC,27703,257000,2,2.0,The Driver Lands,979,7840,1925,297,263,,Sold,,,http://www.redfin.com/NC/Durham/307-N-Guthrie-Ave-27703/home/43530698,TMLS,2262554,N,Y,35.9884674,-78.8765662
PAST SALE,January-30-2018,Single Family Residential,142 Rosedale Creek Dr,Durham,NC,27703-8123,272000,2,2.0,Carolina Arbors,1360,5140,2014,843,200,174,Sold,,,http://www.redfin.com/NC/Durham/142-Rosedale-Creek-Dr-27703/home/65111928,TMLS,2153559,N,Y,35.9271789,-78.7857163
PAST SALE,September-5-2019,Townhouse,158 Finsbury St,Durham,NC,27703,258000,2,3.5,Finsbury,1540,,2007,260,168,174,Sold,,,http://www.redfin.com/NC/Durham/158-Finsbury-St-27703/home/43608199,TMLS,2269421,N,Y,35.883449,-78.8656335
