,sale.type,sold.dat,property.type,address,city,state,ZIP.OR.POSTAL.CODE,zipcode,price,beds,baths,location,square.feet,lot.size,year.built,days.on.market,dollar.per.square.feet,hoa.per.moth,status,source,mls,favorite,interested,latitude,longitude,census_code,census_mid
1,PAST SALE,April-1-2019,Townhouse,134 Mallard Ct,Chapel Hill,NC,27517,27517,210000,3,3,Sycamore Run,1623,7405,1985,417,129,220,Sold,TMLS,2237329,N,Y,35.8892807,-79.0557883,371350122011027,37135012201
2,PAST SALE,April-1-2019,Single Family Residential,1820 Rustica Dr,Durham,NC,27713-1319,27713,260000,3,2.5,Rustica Oaks,2096,7448,2014,417,124,38,Sold,TMLS,2239662,N,Y,35.9470325,-78.8806805,370630020271019,37063002027
3,PAST SALE,April-1-2019,Townhouse,1156 Southpoint Trl #20,Durham,NC,27713,27713,392090,4,3,Durham,2317,3484,2018,417,169,110,Sold,TMLS,2191270,N,Y,35.8915167,-78.9584503,370630020201003,37063002020
4,PAST SALE,April-1-2020,Townhouse,41 Edgebrook Cir,Durham,NC,27703,27703,190000,3,2.5,Taylor Estates,1450,1132,2003,51,131,140,Sold,TMLS,2301219,N,Y,35.9390632,-78.8456852,370630018091039,37063001809
5,PAST SALE,April-1-2020,Single Family Residential,3818 Northlake Dr,Durham,NC,27703,27703,202000,3,2.5,Grove Park,1242,7056,1998,51,163,56,Sold,TMLS,2302277,N,Y,35.9776775,-78.8183768,370630018081027,37063001808
6,PAST SALE,April-1-2020,Single Family Residential,3818 Northlake Dr,Durham,NC,27703,27703,202000,3,2.5,Grove Park,1242,7056,1998,51,163,56,Sold,TMLS,2302277,N,Y,35.9776775,-78.8183768,370630018081027,37063001808
7,PAST SALE,April-1-2020,Townhouse,1034 Gentle Reed Dr #161,Durham,NC,27703,27703,227215,3,2.5,Copley Farm,1729,2613,2019,51,131,170,Sold,TMLS,2273988,N,Y,35.99807188,-78.82016428,370630018062055,37063001806
8,PAST SALE,April-1-2020,Townhouse,1202 Grace Point Rd,Morrisville,NC,27560,27560,231500,2,2.5,Shiloh Grove,1486,1306,2011,51,156,126,Sold,TMLS,2294793,N,Y,35.849838,-78.846186,371830536081033,37183053608
9,PAST SALE,April-1-2020,Single Family Residential,1233 Homecoming Way #69,Durham,NC,27703,27703,274450,3,2.5,Copley Farm,1896,4443,2020,51,145,55,Sold,TMLS,2304871,N,Y,35.9982149,-78.8208255,370630018062055,37063001806
10,PAST SALE,April-1-2020,Single Family Residential,5104 Starcross Ln,Durham,NC,27713,27713,345000,4,2.5,Hope Valley Farms,2684,6534,1990,51,129,20,Sold,TMLS,2281735,N,Y,35.9330008,-78.9405393,370630020241012,37063002024
11,PAST SALE,April-1-2020,Townhouse,114 Cambria Ln #42,Morrisville,NC,27560,27560,345860,4,3,Page Park,2310,4791,2019,51,150,143,Sold,TMLS,2289235,N,Y,35.865484,-78.814742,371830536091125,37183053609
12,PAST SALE,April-1-2020,Single Family Residential,1013 Cotulla Dr,Morrisville,NC,27560,27560,365000,4,3,Cotten Place,2639,4791,2015,51,138,72,Sold,TMLS,2298073,N,Y,35.8239858,-78.8223148,371830536091113,37183053609
13,PAST SALE,April-1-2020,Townhouse,500 Kirkeenan Cir,Morrisville,NC,27560,27560,370000,3,3.5,Preston,2889,3484,2005,51,128,96,Sold,TMLS,2303328,N,Y,35.8072327,-78.8258545,371830535231007,37183053523
14,PAST SALE,April-1-2020,Single Family Residential,116 Eagles Watch Ln,Chapel Hill,NC,27517,27517,705500,6,6.5,Westfall,5823,30492,2016,51,121,130,Sold,TMLS,2256101,N,Y,35.820899,-79.0546628,370370201032000,37037020103
15,PAST SALE,April-1-2020,Townhouse,207 Oval Park Pl,Chapel Hill,NC,27517,27517,900000,4,6,Meadowmont,4445,5662,2002,51,202,396,Sold,TMLS,2269732,N,Y,35.9077235,-79.0139787,371350121002027,37135012100
16,PAST SALE,April-10-2018,Townhouse,393 Shakespeare Dr,Morrisville,NC,27560,27560,250000,3,2.5,Sterling,1768,4356,2016,773,141,135,Sold,TMLS,2177261,N,Y,35.889847,-78.8313403,370630020283004,37063002028
17,PAST SALE,April-10-2018,Townhouse,105 Honeycomb Ln,Morrisville,NC,27560,27560,295000,3,2.5,Downing Village,2337,3484,2005,773,126,171,Sold,TMLS,2174646,N,Y,35.8248963,-78.8392155,371830536071060,37183053607
18,PAST SALE,April-10-2018,Single Family Residential,3 Fieldcrest Ct,Durham,NC,27713,27713,308000,4,2.5,Hope Valley Farms,2380,9888,1990,773,129,20,Sold,TMLS,2168624,N,Y,35.9294404,-78.9483357,370630020072015,37063002007
19,PAST SALE,April-10-2018,Single Family Residential,4711 Knights Arm Dr,Durham,NC,27707,27707,347000,4,2.5,Prescott Place,2851,8276,2003,773,122,32,Sold,TMLS,2173217,N,Y,35.9320187,-78.984785,370630020183007,37063002018
20,PAST SALE,April-10-2018,Single Family Residential,110 Sturdivant Rd,Durham,NC,27705,27705,422725,5,4,American Village Greenway,3832,20081,1999,773,110,10,Sold,TMLS,2171741,N,Y,36.0211564,-78.9631601,370630017062011,37063001706
21,PAST SALE,April-10-2018,Single Family Residential,114 Preston Grande Way,Morrisville,NC,27560,27560,550000,4,3.5,Preston,2938,13503,1998,773,187,154,Sold,TMLS,2174699,N,Y,35.8024249,-78.8207921,371830535231015,37183053523
22,PAST SALE,April-10-2019,Single Family Residential,111 White Burley Ct,Durham,NC,27703,27703,280000,4,2.5,Rustica Oaks,1913,6926,2016,408,146,42,Sold,TMLS,2239517,N,Y,35.9482226,-78.8761037,370630020271014,37063002027
23,PAST SALE,April-10-2019,Single Family Residential,2803 Prospect Pkwy,Durham,NC,27703,27703,336000,4,3.5,Brightleaf,2635,6011,2011,408,128,43,Sold,TMLS,2236462,N,Y,35.9530515,-78.8146599,370630018082084,37063001808
24,PAST SALE,April-10-2019,Single Family Residential,5 Providence Ridge Ln,Durham,NC,27713,27713,340000,4,2.5,Providence Ridge,2495,14374,2003,408,136,15,Sold,TMLS,2240407,N,Y,35.927449,-78.9061258,370630020252005,37063002025
25,PAST SALE,April-10-2019,Single Family Residential,1908 Pattersons Mill Rd,Durham,NC,27703,27703,415000,4,3.5,Brightleaf,2973,12196,2017,408,140,88,Sold,TMLS,2217439,N,Y,35.951147,-78.83197,370630018082095,37063001808
26,PAST SALE,April-10-2019,Single Family Residential,44 Brookside Pl,Durham,NC,27705,27705,1130000,5,4.5,Croasdaile Farm,6298,80586,1998,408,179,37,Sold,TMLS,2237039,N,Y,36.0410058,-78.9508766,370630017075001,37063001707
27,PAST SALE,April-10-2020,Single Family Residential,4 Hertford Pl,Durham,NC,27703,27703,215000,3,2,Greycliff,1219,10410,1994,42,176,13,Sold,TMLS,2305947,N,Y,35.9890667,-78.8290423,370630018073014,37063001807
28,PAST SALE,April-10-2020,Single Family Residential,4 Hertford Pl,Durham,NC,27703,27703,215000,3,2,Greycliff,1219,10410,1994,42,176,13,Sold,TMLS,2305947,N,Y,35.9890667,-78.8290423,370630018073014,37063001807
29,PAST SALE,April-11-2018,Townhouse,218 Zante Currant Rd,Durham,NC,27703,27703,240500,3,2.5,Durham,1698,2657,2017,772,142,132,Sold,TMLS,2174308,N,Y,35.9458301,-78.8718661,370630020271022,37063002027
30,PAST SALE,April-11-2018,Single Family Residential,8110 Mackenzie Ct,Durham,NC,27713,27713,310000,4,2.5,Buck Crossing,2218,8712,2003,772,140,14,Sold,TMLS,2175672,N,Y,35.8962622,-78.9582336,370630020211047,37063002021
31,PAST SALE,April-11-2018,Single Family Residential,1956 Grace Point Rd,Morrisville,NC,27560,27560,419000,4,2.5,Providence Place,3323,8712,2006,772,126,49,Sold,TMLS,2172104,N,Y,35.8551065,-78.8450991,371830536081059,37183053608
32,PAST SALE,April-11-2019,Single Family Residential,11 Redstone Ct,Durham,NC,27703,27703,180000,3,2,Ridgefield,1352,7274,2004,407,133,19,Sold,TMLS,2237196,N,Y,36.0075148,-78.8061636,370630018062041,37063001806
33,PAST SALE,April-11-2019,Townhouse,176 Manordale Dr,Chapel Hill,NC,27517,27517,270440,2,2.5,Durham,1541,1437,2019,407,175,118,Sold,TMLS,2198631,N,Y,35.911632,-78.993751,370630020183043,37063002018
34,PAST SALE,April-11-2019,Single Family Residential,5520 Bridgeman Ct,Durham,NC,27703-8538,27703,295000,4,2.5,Harrington Pines,2268,7710,2002,407,130,18,Sold,TMLS,2243668,N,Y,35.9258602,-78.7557015,370630019002093,37063001900
35,PAST SALE,April-11-2019,Single Family Residential,206 Ashton Gln,Durham,NC,27703,27703,314000,4,2.5,Ashton Hall,2669,9539,2010,407,118,60,Sold,TMLS,2242355,N,Y,35.9599174,-78.8271597,370630018082048,37063001808
36,PAST SALE,April-11-2019,Single Family Residential,202 History Pl #302,Morrisville,NC,27560,27560,330000,3,2.5,Sterling,1690,4356,2019,407,195,55,Sold,TMLS,2227022,N,Y,35.889679,-78.827558,370630020283004,37063002028
37,PAST SALE,April-12-2018,Single Family Residential,411 Feldspar Way,Durham,NC,27703,27703,144250,4,2,Stone Hill Estates,1566,7492,2001,771,92,13,Sold,TMLS,2170605,N,Y,35.9876779,-78.8206777,370630018073010,37063001807
38,PAST SALE,April-12-2018,Single Family Residential,601 Eastway Ave,Durham,NC,27703,27703,190000,3,2,Eastway,1250,6751,2009,771,152,68,Sold,TMLS,2176138,N,Y,35.990996,-78.883438,370630010011014,37063001001
39,PAST SALE,April-12-2018,Townhouse,1044 Philpott Dr,Chapel Hill,NC,27517,27517,242500,2,2.5,Governors Village,1396,2308,2009,771,174,189,Sold,TMLS,2166158,N,Y,35.8499685,-79.0250732,370370207011072,37037020701
40,PAST SALE,April-12-2018,Single Family Residential,2207 Tanners Mill Dr,Durham,NC,27703,27703,266000,3,2.5,Hanover Pointe,2458,4356,2012,771,108,40,Sold,TMLS,2176409,N,Y,35.9650062,-78.8322018,370630018082048,37063001808
41,PAST SALE,April-12-2018,Townhouse,804 Kirkeenan Cir,Morrisville,NC,27560,27560,291500,3,3,Preston,2135,1742,2003,771,137,95,Sold,TMLS,2177484,N,Y,35.8080821,-78.8266334,371830535231007,37183053523
42,PAST SALE,April-12-2018,Single Family Residential,308 Crossland Dr,Chapel Hill,NC,27517,27517,378000,3,2.5,Durham,2066,4530,2018,771,183,68,Sold,TMLS,2155854,N,Y,35.9110839,-78.9929159,370630020183043,37063002018
43,PAST SALE,April-12-2018,Single Family Residential,51219 Eastchurch,Chapel Hill,NC,27517,27517,503250,5,4,Saddle Ridge,4018,19602,1996,771,125,244,Sold,TMLS,2122838,N,Y,35.851675,-79.046983,370370201031003,37037020103
44,PAST SALE,April-12-2018,Single Family Residential,507 Bend Dr,Durham,NC,27713,27713,538000,5,3,The Hills at Southpoint,3695,10497,2014,771,146,75,Sold,TMLS,2144036,N,Y,35.8846221,-78.9442702,370630020202019,37063002020
45,PAST SALE,April-12-2019,Single Family Residential,7 Lakemont Cir,Durham,NC,27703,27703,216000,3,2.5,Grove Park,1408,7405,1998,406,153,47,Sold,TMLS,2238827,N,Y,35.9720995,-78.8193503,370630018081034,37063001808
46,PAST SALE,April-12-2019,Single Family Residential,7 Lakemont Cir,Durham,NC,27703,27703,216000,3,2.5,Grove Park,1408,7405,1998,406,153,47,Sold,TMLS,2238827,N,Y,35.9720995,-78.8193503,370630018081034,37063001808
47,PAST SALE,April-12-2019,Single Family Residential,2819 Skybrook Ln,Durham,NC,27703,27703,269000,3,2.5,Bradbury,2232,5227,2006,406,121,19,Sold,TMLS,2240931,N,Y,35.9257446,-78.8294602,370630020281013,37063002028
48,PAST SALE,April-12-2019,Single Family Residential,3005 September Dr,Durham,NC,27703,27703,274200,3,2.5,Hanover Pointe,2422,3571,2013,406,113,44,Sold,TMLS,2241513,N,Y,35.9649954,-78.8323693,370630018082048,37063001808
49,PAST SALE,April-12-2019,Townhouse,2703 Evanston Ave,Durham,NC,27703,27703,275000,3,2.5,Brier Village,1912,3484,2010,406,144,128,Sold,TMLS,2237893,N,Y,35.9211737,-78.8147927,370630020281007,37063002028
50,PAST SALE,April-12-2019,Single Family Residential,717 Keystone Park Dr,Durham,NC,27560,27560,306000,4,2.5,Keystone Crossing,2543,4356,2007,406,120,30,Sold,TMLS,2233068,N,Y,35.8705085,-78.8548752,370630020283049,37063002028
51,PAST SALE,April-12-2019,Single Family Residential,205 Callandale Ln,Durham,NC,27703-9497,27703,338000,4,3,Ashton Hall,3185,9844,2013,406,106,60,Sold,TMLS,2231101,N,Y,35.9562872,-78.832139,370630018082048,37063001808
52,PAST SALE,April-12-2019,Single Family Residential,2404 Teermark Ln,Durham,NC,27703,27703,365000,4,3.5,Brightleaf,3357,13503,2009,406,109,40,Sold,TMLS,2234374,N,Y,35.948506,-78.8190405,370630018082074,37063001808
53,PAST SALE,April-12-2019,Single Family Residential,3503 Golden Heather Dr,Durham,NC,27712,27712,402500,4,2.5,Riverside on the Eno,2334,18948,2019,406,172,46,Sold,TMLS,2241733,N,Y,36.06758,-78.938614,370630017074002,37063001707
54,PAST SALE,April-12-2019,Single Family Residential,30175 Ruffins,Chapel Hill,NC,27517,27517,433000,4,2.5,Governors Park,3077,11325,2004,406,141,91,Sold,TMLS,2232819,N,Y,35.8466437,-79.026784,370370201031030,37037020103
55,PAST SALE,April-12-2019,Single Family Residential,1107 White Bark Ln,Durham,NC,27703,27703,485450,4,3.5,Durham,3104,7579,2018,406,156,245,Sold,TMLS,2205452,N,Y,35.9427538,-78.7886492,370630019001014,37063001900
56,PAST SALE,April-12-2019,Single Family Residential,1106 Crescent Moon Ct Unit Homesite 28 Azalea B,Durham,NC,27712,27712,499990,5,4,Valley Springs,3320,17467,2019,406,151,48,Sold,TMLS,2226823,N,Y,36.048918,-78.956611,370630017074017,37063001707
57,PAST SALE,April-13-2018,Single Family Residential,3001 Forrestal Dr,Durham,NC,27703,27703,166900,3,2.5,Lynn Hollow,1680,6969,2003,770,99,20,Sold,TMLS,2177324,N,Y,35.972516,-78.8431416,370630018071030,37063001807
58,PAST SALE,April-13-2018,Single Family Residential,6 Kitty Hawk Ct,Durham,NC,27703,27703,181000,3,2.5,Lynn Hollow,1616,5314,2002,770,112,20,Sold,TMLS,2174920,N,Y,35.9736496,-78.8425776,370630018071030,37063001807
59,PAST SALE,April-13-2018,Single Family Residential,4 Beaver Creek Ln,Durham,NC,27703,27703,245000,3,2.5,Alexander Crossing,2159,9147,2005,770,113,30,Sold,TMLS,2176160,N,Y,35.9241404,-78.8266951,370630020281013,37063002028
60,PAST SALE,April-13-2018,Single Family Residential,404 Ashburn Ln,Durham,NC,27703,27703,270000,4,2.5,Ravenstone,2934,10149,2004,770,92,49,Sold,TMLS,2167249,N,Y,35.9717335,-78.7949225,370630018082004,37063001808
61,PAST SALE,April-13-2018,Townhouse,234 Lynchwick Ln,Durham,NC,27703,27703,270000,3,2.5,Townes at Brier Creek Crossing,1889,2395,2016,770,143,135,Sold,TMLS,2167829,N,Y,35.922465,-78.782496,371830537171031,37183053717
62,PAST SALE,April-13-2018,Single Family Residential,616 Branchview Dr,Durham,NC,27713,27713,284000,4,2.5,Hope Valley Farms,2135,8276,1997,770,133,24,Sold,TMLS,2179732,N,Y,35.9362941,-78.9198737,370630020251000,37063002025
63,PAST SALE,April-13-2018,Single Family Residential,5807 Tahoe Dr,Durham,NC,27713,27713,312000,4,2.5,Durham,2134,12196,1994,770,146,29,Sold,TMLS,2171915,N,Y,35.9226174,-78.9178846,370630020222000,37063002022
64,PAST SALE,April-13-2018,Single Family Residential,3334 Prospect Pkwy,Durham,NC,27703,27703,345500,5,3,Brightleaf,2759,9147,2018,770,125,88,Sold,TMLS,2173840,N,Y,35.9545218,-78.8064306,370630018082068,37063001808
65,PAST SALE,April-13-2018,Single Family Residential,1110 Oatney Ridge Ln,Morrisville,NC,27560-7591,27560,350000,3,2.5,Kitts Creek,2215,5227,2014,770,158,63,Sold,TMLS,2174976,N,Y,35.8650562,-78.8549894,371830536081002,37183053608
66,PAST SALE,April-13-2018,Single Family Residential,1110 Oatney Ridge Ln,Morrisville,NC,27560-7591,27560,350000,3,2.5,Kitts Creek,2215,5227,2014,770,158,63,Sold,TMLS,2174976,N,Y,35.8650562,-78.8549894,371830536081002,37183053608
67,PAST SALE,April-13-2018,Single Family Residential,223 Rope Walk Ct,Cary,NC,27560,27560,360000,3,2.5,Twin Lakes,2372,10890,2007,770,152,70,Sold,TMLS,2175711,N,Y,35.8286101,-78.840233,371830536071053,37183053607
68,PAST SALE,April-13-2018,Townhouse,158 Liberty Rose Dr,Morrisville,NC,27560,27560,374235,3,3,Wake,2747,3484,2017,770,136,145,Sold,TMLS,2104461,N,Y,35.8380718,-78.8473134,371830536071018,37183053607
69,PAST SALE,April-13-2020,Single Family Residential,909 Summer Storm Dr,Durham,NC,27704,27704,234900,4,2.5,Summer Meadows,2066,9583,2008,39,114,28,Sold,TMLS,2303578,N,Y,36.0625649,-78.8861415,370630017081028,37063001708
70,PAST SALE,April-13-2020,Townhouse,901 Hamlet Park Dr,Morrisville,NC,27560,27560,241500,3,2.5,Hamlet in the Park,1377,2178,2003,39,175,132,Sold,TMLS,2306156,N,Y,35.8481818,-78.8457184,371830536081026,37183053608
71,PAST SALE,April-13-2020,Townhouse,130 Churment Ct,Durham,NC,27703,27703,246000,3,2.5,Durham,1708,2178,2017,39,144,148,Sold,TMLS,2297000,N,Y,35.9463694,-78.8701203,370630020271022,37063002027
72,PAST SALE,April-13-2020,Single Family Residential,3514 Portico Ln,Durham,NC,27703,27703,259000,3,2.5,Stone Hill Estates,1978,9888,2008,39,131,13,Sold,TMLS,2304353,N,Y,35.9939137,-78.820014,370630018073002,37063001807
73,PAST SALE,April-13-2020,Single Family Residential,5620 Severn Grove Ct,Durham,NC,27703,27703,262500,3,2.5,Bennington,2026,7405,2004,39,130,25,Sold,TMLS,2303037,N,Y,35.9301896,-78.7525056,370630019002083,37063001900
74,PAST SALE,April-13-2020,Townhouse,1317 Foxglove Dr,Morrisville,NC,27560,27560,290000,3,2.5,Church Street Townes,1526,1742,2010,39,190,135,Sold,TMLS,2306089,N,Y,35.8278921,-78.8334202,371830536071008,37183053607
75,PAST SALE,April-13-2020,Single Family Residential,4710 Alderbrook Ln,Durham,NC,27713,27713,306500,4,2.5,Hope Valley Farms,2188,9757,2001,39,140,27,Sold,TMLS,2304531,N,Y,35.9392453,-78.9335312,370630020241008,37063002024
76,PAST SALE,April-13-2020,Single Family Residential,1105 Byram Rd,Durham,NC,27703,27703,309000,4,2.5,Brightwood Trails,2380,8450,2017,39,130,45,Sold,TMLS,2302476,N,Y,35.965374,-78.800461,370630018082030,37063001808
77,PAST SALE,April-13-2020,Single Family Residential,5020 Dragonfly Dr Unit LS Lot 104,Durham,NC,27703,27703,331415,4,3,Durham,2350,6359,2019,39,141,65,Sold,TMLS,2269948,N,Y,35.9606,-78.8307,370630018082048,37063001808
78,PAST SALE,April-13-2020,Single Family Residential,701 Poplar St,Durham,NC,27703,27703,338200,5,3,Brightwood Trails,2725,7623,2013,39,124,135,Sold,TMLS,2305762,N,Y,35.9638165,-78.8009415,370630018082025,37063001808
79,PAST SALE,April-13-2020,Single Family Residential,14 Piccadilly Ct,Durham,NC,27713,27713,350000,4,2.5,Crestfield,2581,7100,2008,39,136,28,Sold,TMLS,2298256,N,Y,35.9320102,-78.9208026,370630020251015,37063002025
80,PAST SALE,April-13-2020,Single Family Residential,14 Piccadilly Ct,Durham,NC,27713,27713,350000,4,2.5,Crestfield,2581,7100,2008,39,136,28,Sold,TMLS,2298256,N,Y,35.9320102,-78.9208026,370630020251015,37063002025
81,PAST SALE,April-13-2020,Single Family Residential,2033 Addenbrock Dr,Morrisville,NC,27560,27560,367000,4,2.5,McCrimmon at the Park,2557,7405,2007,39,144,65,Sold,TMLS,2302359,N,Y,35.8341617,-78.8654013,371830536021028,37183053602
82,PAST SALE,April-13-2020,Single Family Residential,310 Barrington Overlook Dr,Durham,NC,27703-6680,27703,368000,5,3,Grove Park,3440,13939,2003,39,107,52,Sold,TMLS,2300132,N,Y,35.9849455,-78.8099251,370630018072027,37063001807
83,PAST SALE,April-13-2020,Single Family Residential,1010 Laredo Ln,Durham,NC,27703,27703,369000,4,2.5,Brightleaf,3015,7056,2015,39,122,88,Sold,TMLS,2301823,N,Y,35.9538848,-78.808332,370630018082068,37063001808
84,PAST SALE,April-13-2020,Single Family Residential,4101 Indigo Dr,Durham,NC,27705-5379,27705,405000,4,2.5,Garrett Farms,2606,15028,1990,39,155,55,Sold,TMLS,2313438,N,Y,35.9665755,-78.9867286,370630020173027,37063002017
85,PAST SALE,April-14-2020,Single Family Residential,1003 Oak Park Dr,Durham,NC,27703,27703,287000,4,2.5,Wyndmoor at the Park,2777,5662,2008,38,103,30,Sold,TMLS,2296814,N,Y,35.9456945,-78.8812781,370630020271019,37063002027
86,PAST SALE,April-14-2020,Single Family Residential,3326 Prospect Pkwy,Durham,NC,27703,27703,385000,5,3,Brightleaf,2759,8276,2017,38,140,88,Sold,TMLS,2298873,N,Y,35.9548983,-78.8070487,370630018082068,37063001808
87,PAST SALE,April-14-2020,Single Family Residential,512 Scotney Cir,Durham,NC,27713,27713,390000,4,2.5,Wellington Forest,3063,9583,2002,38,127,75,Sold,TMLS,2289004,N,Y,35.9038127,-78.9281391,370630020212020,37063002021
88,PAST SALE,April-14-2020,Single Family Residential,222 Macy Grove Dr,Chapel Hill,NC,27517-9620,27517,395000,4,2.5,Durham,2443,4181,2018,38,162,60,Sold,TMLS,2304755,N,Y,35.911954,-78.992759,370630020183043,37063002018
89,PAST SALE,April-15-2019,Single Family Residential,202 Foxborough Ln,Durham,NC,27703-7899,27703,285000,4,3,Brightwood Trails,2046,7797,2016,403,139,35,Sold,TMLS,2240642,N,Y,35.9615906,-78.8058538,370630018082025,37063001808
90,PAST SALE,April-15-2019,Single Family Residential,4 Jarvis Ct,Durham,NC,27703,27703,292000,4,3.5,Grove Park,2415,20908,1988,403,121,52,Sold,TMLS,2239066,N,Y,35.9782688,-78.8135676,370630018081008,37063001808
91,PAST SALE,April-15-2019,Single Family Residential,3412 Ranbir Dr,Durham,NC,27713-1388,27713,305000,4,2.5,Lochside,2316,10018,2006,403,132,40,Sold,TMLS,2241996,N,Y,35.9303202,-78.901307,370630020252005,37063002025
92,PAST SALE,April-15-2019,Townhouse,4123 Lofty Ridge Pl,Morrisville,NC,27560,27560,320000,3,2.5,Phillips Place,1996,3920,2018,403,160,130,Sold,TMLS,2234763,N,Y,35.8328043,-78.87519,371830536021028,37183053602
93,PAST SALE,April-15-2019,Single Family Residential,4 Crestmont Ct,Durham,NC,27703,27703,324000,5,3,Ashton Hall,3004,8973,2011,403,108,60,Sold,TMLS,2238453,N,Y,35.9623112,-78.825589,370630018082048,37063001808
94,PAST SALE,April-15-2019,Single Family Residential,102 Court Jester Way,Morrisville,NC,27560,27560,389000,4,3.5,Sterling,3104,12196,2015,403,125,55,Sold,TMLS,2243139,N,Y,35.8909679,-78.8301904,370630020283004,37063002028
95,PAST SALE,April-15-2019,Single Family Residential,4209 Taylor Hall Pl,Chapel Hill,NC,27517,27517,489900,4,3.5,Trenton,3079,20647,2005,403,159,16,Sold,TMLS,2238139,N,Y,35.923125,-78.9795283,370630020183023,37063002018
96,PAST SALE,April-15-2019,Single Family Residential,19236 Stone Brk,Chapel Hill,NC,27517,27517,629900,3,3.5,Stone Brook,3846,10890,2018,403,164,360,Sold,TMLS,2202508,N,Y,35.8408924,-79.0602521,370370201031010,37037020103
97,PAST SALE,April-15-2020,Townhouse,1042 Gentle Reed Dr #164,Durham,NC,27703,27703,233000,3,2.5,Copley Farm,1729,479,2019,37,135,170,Sold,TMLS,2278680,N,Y,35.9606,-78.8307,370630018082048,37063001808
