SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-3-2019,Single Family Residential,10 Frances St,Chapel Hill,NC,27517,280000,2,3.0,Ridgefield North,1605,13503,1980,354,174,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/10-Frances-St-27517/home/44396333,TMLS,2249103,N,Y,35.9324722,-79.019399
PAST SALE,August-18-2017,Single Family Residential,1547 Fountain Rdg,Chapel Hill,NC,27517-2326,303000,4,3.0,Colony Woods,2253,13503,1964,1008,134,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1547-Fountain-Ridge-Rd-27517/home/44394698,TMLS,2137207,N,Y,35.937092,-79.0119473
PAST SALE,June-29-2017,Single Family Residential,6515 Glen Forest Dr,Chapel Hill,NC,27517,326500,3,2.0,Falconbridge,1900,21910,1995,1058,172,75,Sold,,,http://www.redfin.com/NC/Chapel-Hill/The-Gln-27514/home/43551667,TMLS,2119421,N,Y,35.904131,-78.982958
PAST SALE,,Condo/Co-op,3408 Environ Way,Chapel Hill,NC,27517,296500,1,1.0,,775,,2008,,383,,,,,http://www.redfin.com/NC/Chapel-Hill/3408-Environ-Way-27517/home/44425042,,,N,Y,35.906401,-79.0219974
PAST SALE,,Single Family Residential,402 Highview Dr,Chapel Hill,NC,27517,290000,4,2.0,,1873,12197,1970,,155,,,,,http://www.redfin.com/NC/Chapel-Hill/402-Highview-Dr-27517/home/44416505,,,N,Y,35.9360681,-79.0037
PAST SALE,,Single Family Residential,2105 Ridgefield Dr,Chapel Hill,NC,27517,300000,2,2.0,,1701,13547,1990,,176,,,,,http://www.redfin.com/NC/Chapel-Hill/2105-Ridgefield-Dr-27517/home/43549708,,,N,Y,35.9014823,-78.9819137
PAST SALE,April-22-2019,Single Family Residential,1009 Hillside Dr,Chapel Hill,NC,27517,280000,3,2.0,Hillside Estates,1800,25700,1966,396,156,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1009-Hillside-Dr-27517/home/44390084,TMLS,2240577,N,Y,35.879159,-79.05045
PAST SALE,March-20-2019,Single Family Residential,1303 Cypress Rd,Chapel Hill,NC,27517,328000,4,2.5,Ridgefield,1827,26571,1961,429,180,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1303-Cypress-Rd-27517/home/44394293,TMLS,2237400,N,Y,35.9319913,-79.0168048
PAST SALE,June-12-2018,Condo/Co-op,3202 Environ Way #3202,Chapel Hill,NC,27517,345000,2,2.0,East 54,1190,,2009,710,290,458,Sold,,,http://www.redfin.com/NC/Chapel-Hill/3202-Environ-Way-27517/unit-3202/home/104280867,TMLS,2128688,N,Y,35.9065266,-79.0220917
PAST SALE,,Condo/Co-op,114 Cedar Breeze Ln,Chapel Hill,NC,27517,330000,2,2.0,,1290,,2009,,256,,,,,http://www.redfin.com/NC/Chapel-Hill/114-Cedar-Breeze-Ln-27517/home/43611783,,,N,Y,35.9059488,-79.0075474
PAST SALE,June-25-2018,Townhouse,2 Abernathy Dr Unit N/A,Chapel Hill,NC,27517,350000,3,2.5,Abernathy Place,2030,3484,2006,697,172,200,Sold,,,http://www.redfin.com/NC/Chapel-Hill/2-Abernathy-Dr-27517/unit-N-A/home/161378401,TMLS,2164333,N,Y,35.8935299,-79.0028057
PAST SALE,,Condo/Co-op,3609 Environ Way,Chapel Hill,NC,27517,325000,1,1.0,,1088,,2008,,299,,,,,http://www.redfin.com/NC/Chapel-Hill/3609-Environ-Way-27517/home/44424554,,,N,Y,35.9064091,-79.0218486
PAST SALE,April-14-2020,Single Family Residential,1541 Fountain Ridge Rd,Chapel Hill,NC,27517,328000,3,2.0,Colony Woods,2053,16988,1965,38,160,,Sold,,,http://www.redfin.com/NC/Chapel-Hill/1541-Fountain-Ridge-Rd-27517/home/44396197,TMLS,2307225,N,Y,35.9371531,-79.0126097
