SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-21-2017,Single Family Residential,1507 Glendale Ave,Durham,NC,27701,405000,3,2.5,Duke Park,1822,7361,2004,1036,222,,Sold,,,http://www.redfin.com/NC/Durham/1507-Glendale-Ave-27701/home/43522966,TMLS,2132738,N,Y,36.0107784,-78.8961895
PAST SALE,,Condo/Co-op,931 E Main St,Durham,NC,27701,375000,,,,2684,,1920,,140,,,,,http://www.redfin.com/NC/Durham/931-E-Main-St-27701/home/67995954,,,N,Y,35.9891419,-78.8899298
PAST SALE,January-19-2018,Townhouse,701 #106 W Trinity Ave #106,Durham,NC,27701,399900,2,2.0,Trinity Lofts,1390,1133,2007,854,288,250,Sold,,,http://www.redfin.com/NC/Durham/701-W-Trinity-Ave-27701/unit-106/home/43607926,TMLS,2158301,N,Y,36.0052212,-78.9023853
PAST SALE,November-28-2017,Single Family Residential,1201 Hazel St,Durham,NC,27701,430000,3,2.5,Durham,2394,4660,2017,906,180,,Sold,,,http://www.redfin.com/NC/Durham/1201-Hazel-St-27701/home/43530485,TMLS,2146088,N,Y,35.9993366,-78.8891041
PAST SALE,,Single Family Residential,918 W Markham Ave,Durham,NC,27701,360000,3,1.0,,1147,14810,1922,,314,,,,,http://www.redfin.com/NC/Durham/918-W-Markham-Ave-27701/home/43520342,,,N,Y,36.0101395,-78.907231
PAST SALE,April-10-2018,Single Family Residential,315 Englewood Ave,Durham,NC,27701,366500,3,3.0,Durham,1867,9583,1955,773,196,,Sold,,,http://www.redfin.com/NC/Durham/315-Englewood-Ave-27701/home/43523138,TMLS,2175754,N,Y,36.0143722,-78.8967974
PAST SALE,November-3-2017,Condo/Co-op,130 Hunt St #305,Durham,NC,27701,445000,2,1.5,Durham,1170,,2014,931,380,414,Sold,,,http://www.redfin.com/NC/Durham/130-Hunt-St-27701/unit-305/home/103501684,TMLS,2144794,N,Y,36.0002698,-78.8990472
PAST SALE,,Single Family Residential,913 Monmouth Ave,Durham,NC,27701,430000,3,2.0,,1683,8015,1920,,255,,,,,http://www.redfin.com/NC/Durham/913-Monmouth-Ave-27701/home/43523087,,,N,Y,36.0064323,-78.9070926
PAST SALE,,Condo/Co-op,506 N Mangum St #206,Durham,NC,27701,440000,1,1.0,,843,,2009,,522,,,,,http://www.redfin.com/NC/Durham/506-N-Mangum-St-27701/unit-206/home/110074428,,,N,Y,35.9982736,-78.89746
PAST SALE,March-2-2018,Single Family Residential,207 E Geer St,Durham,NC,27701,355000,3,2.0,Old North Durham,1680,8232,1915,812,211,,Sold,,,http://www.redfin.com/NC/Durham/207-E-Geer-St-27701/home/43594834,TMLS,2159226,N,Y,36.0034212,-78.892376
